Código;DESCRIÇÃO;Saldo ideal;Und.;Origem;1º bimestre;2º bimestre;3º bimestre;4º bimestre;5º bimestre;6º bimestre;TOTAL;desc red;;;;;;;;;;;;;;;;;;;
30737;"EXTENSÃO(MANGUEIRA) PARA PRESSÃO NÃO INVASIVA, com conectores, aplicável a manguitos descartáveis neonatais, para monitores modelo iPM9800 e BeneView. Aplicação/Finalidade: Transmitir a pressão não invasiva captada pelo manguito pelo método oscilométrico, ao monitor de Pressão Não Invasiva, modelos iPM9800 e BeneView. Material/Composição: Não contém látex. Tamanho/Capacidade: A mangueira tem 3m de comprimento. Processo de Esterilização: Não mergulhar em líquidos; não molhar o conector; limpar com pano úmido com solução de água + detergente líquido; secar completamente o interior da mangueira para não danificar o equipamento ou alterar as medidas; desinfetar com um pano umedecido em álcool 70%. Forma de Apresentação: Unitário em saco plástico. Prazo de Validade: Indeterminado.
";R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;EXTENSÃO(MANGUEIRA) PARA PRESSÃO NÃO INVASIVA;;;;;;;;;;;;;;;;;;;
30740;BRAÇADEIRA DESCARTÁVEL PARA PRESSÃO NÃO INVASIVA, para pacientes neonatos, ref. CM1500A, n°1. Aplicação/finalidade: Captar a Pressão Não Invasiva de pacientes neonatais tamanho 1, pelo método oscilométrico, para o monitores de Pressão Não Invasiva. Material/composição: Silicone. Não contém látex. Não contém PVC. Tamanho/capacidade: Para pacientes neonatos com circunferência de braço entre 3,1cm e 5,7cm. Características Adicionais: Mangueira única. Processo de esterilização: Não se aplica. Uso único. Forma de apresentação: Unitário em saco plástico. Prazo de validade: Indeterminado.;R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;BRAÇADEIRA DESCARTÁVEL PARA PRESSÃO NÃO INVASIVA;;;;;;;;;;;;;;;;;;;
30741;"BRAÇADEIRA DESCARTÁVEL PARA PRESSÃO NÃO INVASIVA, para pacientes neonatos, ref. CM1500B, n°2. Aplicação/finalidade: Captar a Pressão Não Invasiva de pacientes neonatais tamanho 2, pelo método oscilométrico, para o monitores de Pressão Não Invasiva.
Material/composição: Silicone. Não contém látex. Não contém PVC. Tamanho/capacidade: Para pacientes neonatos com circunferência de braço entre 4,3cm e 8,0cm. Características Adicionais: Mangueira única. Processo de esterilização: Não se aplica. Uso único. Forma de apresentação: Unitário em saco plástico. Prazo de validade: Indeterminado.";R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;BRAÇADEIRA DESCARTÁVEL PARA PRESSÃO NÃO INVASIVA;;;;;;;;;;;;;;;;;;;
30742;BRAÇADEIRA DESCARTÁVEL PARA PRESSÃO NÃO INVASIVA, para pacientes neonatos, ref. CM1500C, n°3. Aplicação/finalidade: Captar a Pressão Não Invasiva de pacientes neonatais tamanho 3, pelo método oscilométrico, para o monitores de Pressão Não Invasiva. Material/composição: Silicone. Não contém látex. Não contém PVC. Tamanho/capacidade: Para pacientes neonatos com circunferência de braço entre 5,8cm e 10,9cm. Características Adicionais: Mangueira única. Processo de esterilização: Não se aplica. Uso único. Forma de apresentação: Unitário em saco plástico. Prazo de validade: Indeterminado.;R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;BRAÇADEIRA DESCARTÁVEL PARA PRESSÃO NÃO INVASIVA;;;;;;;;;;;;;;;;;;;
30743;BRAÇADEIRA DESCARTÁVEL PARA PRESSÃO NÃO INVASIVA, para pacientes neonatos, ref. CM1500D, n°4. Aplicação/finalidade: Captar a Pressão Não Invasiva de pacientes neonatais tamanho 4, pelo método oscilométrico, para o monitores de Pressão Não Invasiva. Material/composição: Silicone. Não contém látex. Não contém PVC. Tamanho/capacidade: Para pacientes neonatos com circunferência de braço entre 7,1cm e 13,1cm. Características Adicionais: Mangueira única. Processo de esterilização: Não se aplica. Uso único. Forma de apresentação: Unitário em saco plástico. Prazo de validade: Indeterminado.;R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;BRAÇADEIRA DESCARTÁVEL PARA PRESSÃO NÃO INVASIVA;;;;;;;;;;;;;;;;;;;
30744;"SENSOR DE TEMPERATURA REUTILIZÁVEL, 2 pinos, tipo endocavitário (retal ou esofágico) , aplicável a pacientes pediátricos e neonatais, série MR400. Aplicação/finalidade: Conectar o corpo humano ao monitor de temperatura modelos iPM9800 e BeneView, marca Mindray, para a medida contínua de temperatura. Material/composição: Não contém látex. Tamanho/capacidade: O sensor tem 3m de comprimento. Características Adicionais: O conjunto de cabos cumpre com os requisitos das normas IEC60601-1 e ANSI/AAMI EC53. Componente externo tipo CF, ou seja, possui alto grau de proteção contra choques elétricos. Processo de esterilização: Não mergulhar em líquidos; não molhar os pinos de conexão; limpar com pano umedecido em água, secar com pano seco e deixar secar ao ar; desinfetar (somente quando for estritamente necessário) com um pano umedecido em álcool 70%, retirar o excesso de álcool com um pano umedecido em água e deixar secar ao ar. Forma de apresentação: Unitário em saco plástico com desumidificador.";R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;SENSOR DE TEMPERATURA REUTILIZÁVEL;;;;;;;;;;;;;;;;;;;
30745;"SENSOR DE TEMPERATURA REUTILIZÁVEL, 2 pinos, tipo superficial(cutânea), aplicável a pacientes pediátricos e neonatais, série MR400. Aplicação/finalidade: Conectar o corpo humano ao monitor de temperatura modelos iPM9800 e BeneView, marca Mindray, para a medida contínua de temperatura. Material/composição: Não contém látex. Tamanho/capacidade: O sensor tem 3m de comprimento. Características Adicionais: O conjunto de cabos cumpre com os requisitos das normas IEC60601-1 e ANSI/AAMI EC53. Componente externo tipo CF, ou seja, possui alto grau de proteção contra choques elétricos. Processo de esterilização: Não mergulhar em líquidos; não molhar os pinos de conexão; limpar com pano umedecido em água, secar com pano seco e deixar secar ao ar; desinfetar(somente quando for estritamente necessário)com um pano umedecido em álcool 70%, retirar o excesso de álcool com um pano umedecido em água e deixar secar ao ar.
Forma de apresentação: Unitário em saco plástico com desumidificador";R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;SENSOR DE TEMPERATURA REUTILIZÁVEL;;;;;;;;;;;;;;;;;;;
30772;ESCOVA PARA LIMPEZA DO CANAL DE BIOPSIA DO GASTROSCOPIO. Aplicação: escova circular para uso em limpeza manual interna do canal de biopsia do gastroscopio com lúmen estreito e longo. Material: não estéril, confeccionado com cerdas de nylon resistentes e macias, parte distal de material em aço inox flexível, diâmetro da escova: de 4 mm a 5 mm, de 160 a 180 centímetros de comprimento, com cerdas em uma extremidade e ponta arredondada.  Deve promover a limpeza sem danificar o material devendo ser reutilizável e autoclavável. Registro no Ministério da Saúde. Quantidade: unidade. Forma de apresentação: embalagem individual. Cód.: BR 0342368/0026;R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;ESCOVA PARA LIMPEZA DO CANAL DE BIOPSIA DO GASTROSCOPIO;;;;;;;;;;;;;;;;;;;
30773;ESCOVA PARA LIMPEZA DO CANAL DE BIOPSIA DO COLONOSCOPIO. Aplicação: escova circular para uso em limpeza manual interna do canal de biopsia do colonoscopio com lúmen estreito e longo. Material: não estéril, confeccionado com cerdas de nylon resistentes e macias, parte distal de material em aço inox flexível, diâmetro da escova: de 4.6 mm a 6 mm, de 200 a 240 centímetros de comprimento, com cerdas em uma extremidade e ponta arredondada.  Deve promover a limpeza sem danificar o material devendo ser reutilizável e autoclavável. Registro no Ministério da Saúde. Quantidade: unidade. Forma de apresentação: embalagem individual.;R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;ESCOVA PARA LIMPEZA DO CANAL DE BIOPSIA DO COLONOSCOPIO;;;;;;;;;;;;;;;;;;;
30774;RENOVADOR DE INSTRUMENTAL:  Aplicação: remoção de oxidações, crostas, manchas e placas de minerais de artigos cirúrgicos. Ser permeáveis ao agente esterilizante. Material: para instrumental cirúrgico de aço inoxidável. Não estéril. Forma de apresentação: produto a base de ácido fosfórico e detergente não iônico, específico para remoção de oxidação, crostas, manchas e placas de minerais dos artigos. Possiu pH 1,0, concentração de 2 a 5% em água fria ou quente, por um tempo de imersão de 1 hora. Pode ser utilizado de forma manual ou em máquina automatizada. Forma de apresentação: recipiente de 1 litro. Constando na embalágem o número do lote, data da fabricação, prazo de validade, procedência, marca comercial, registro no Ministério da Saúde e farmacêutico responsável. Odor suave e agradável.;R$ 50.000,00;LI;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;RENOVADOR DE INSTRUMENTAL;;;;;;;;;;;;;;;;;;;
30775;"ENXAGUANTE COM EFEITO LUBRIFICANTE E ATIVADOR DE SECAGEM PARA INSTRUMENTAIS CIRÚRGICOS. Aplicação: lubrificar as articulaçãoes e ativar a secagem dos instrumentais cirúrgicos, reduzindo o atrito direto do metal preservando-os assim por mais tempo. Ser permeáveis ao agente esterilizante Forma de apresentação: Possui pH neutro, não corrosivo, composto de óleo mineral ou monopropilenoglicol e água; específico para enxágue e lubrificação de instrumentais cirúrgicos, pode ser usado de forma manual ou automatizada. Atóxico, resistente ao calor e totalmente permeável ao vapor da autoclave não interferindo no processo de esterilização. Forma de apresentação: recipiente de 1 litro. Acondicionado em material que garanta a integridade do produto, rótulo com número do lote, data de fabricação, validade, procedência e notificação no Ministério da Saúde. Com odor suave e agradável.";R$ 50.000,00;LI;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;ENXAGUANTE COM EFEITO LUBRIFICANTE E ATIVADOR DE SECAGEM PARA INSTRUMENTAIS CIRÚRGICOS;;;;;;;;;;;;;;;;;;;
30786;"CORDA DE NYLON (POLIAMIDA) TRANÇADA COM 10 MM (MILÍMETROS) DE
DIÂMETRO. Material/Composição: nylon (poliamida) trançado. Diâmetro: 10 mm (milímetros). Características: com excelente durabilidade, boa elasticidade, elevada absorção de água,
";R$ 50.000,00;MT;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;CORDA DE NYLON (POLIAMIDA) TRANÇADA COM 10 MM (MILÍMETROS) DE;;;;;;;;;;;;;;;;;;;
30811;PULSEIRA DE IDENTIFICAÇÃO, ADULTO, BRANCA. Aplicação: identificar pacientes internados, Material: confeccionada em material plástico resistente, sem elasticidade, atóxico, hipoalergênico, bordas atraumáticas e ajustável ao uso adulto. Características Adicionais: fecho confeccionado em material inviolável, seguro, atraumático e pulseira impermeável, que não retenha umidade, que permita a realização de exames radiológicos durante uso. Com área de identificação, que permita impressão e uso de caneta esferográfica. Medindo aproximadamente 270 mm (+/- 20 mm) de comprimento e 25 mm de largura (+/- 5mm)  Apresentação: não estéril. Unidade de Estoque: unidade (UN). Código BR 0364040/0021;R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;PULSEIRA DE IDENTIFICAÇÃO;;;;;;;;;;;;;;;;;;;
30820;TUBO CONECTOR ESPIRALADO 60\'\' BAIXA PRESSÃO, Aplicação: Tomografia computadorizada.;R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;TUBO CONECTOR ESPIRALADO 60\'\' BAIXA PRESSÃO;;;;;;;;;;;;;;;;;;;
30920;FIO DE SUTURA NYLON MONOFILAMENTAR 8-0 PRETO, AGULHA CILÍNDRICA, 3/8 DE CÍRCULO, BV 5, FIO NYLON MONOFILAMENTAR 8-0, 13 CM, 130 MICRA 6,5MM.;R$ 50.000,00;UN;NFH;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;FIO DE SUTURA NYLON MONOFILAMENTAR 8-0 PRETO;;;;;;;;;;;;;;;;;;;
30968;Caixa plástica branca com tampa, comprimento, largura e altura 60 x 40 x 20 cm ;R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;CAIXA PLÁSTICA 60 x 40 x 20 cm ;;;;;;;;;;;;;;;;;;;
30972;CATETER NASAL ADULTO, EM SILICONE, TIPO ÓCULOS, PARA OXIGENOTERAPIA. Aplicação: oxigenoterapia em paciente adulto. Material: polivinil atóxico e silicone. Características Adicionais: com extensão mínima de 2,1 em PVC, flexível com ajuste e adaptação confortável, contendo um dispositivo que se adapte às narinas, todo em silicone flexível, com haste de sustentação sobre as orelhas (como óculos). Apresentação: embalagem individual, descartável, Unidade de Estoque: Unidade (UN). Não Estéril.;R$ 45.210,00;UN;NFH;R$ 440,00;R$ 1.550,00;R$ 525,00;R$ 1.850,00;R$ 0,00;R$ 425,00;R$ 4.790,00;CATETER NASAL ADULTO;;;;;;;;;;;;;;;;;;;
30977;SULFADIAZINA DE PRATA CREME DERMATOLÓGICO 1% FRASCO OU POTE 400 G;R$ 50.000,00;UN;NFH;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;SULFADIAZINA DE PRATA CREME DERMATOLÓGICO 1% FRASCO OU POTE 400 G;;;;;;;;;;;;;;;;;;;
31044;COLCHONETE PARA MESA CIRÚRGICA, marca Barrfab, mod. 683. Aplicação: Conforto e posicionamento dos pacientes durante e cirurgia. Material: Poliuretano. Tamanho: Cabeceira (255x305x48mm), Fixa (498x360x48mm), Renal (498x93x48mm), Dorso/pernas (498x550x48mm), Preenchimento (498x90x488mm). Características: Conjunto de colchonetes separados para facilitar posicionamento cirúrgico. Processo de esterilização: Não. Formas de apresentação: Colchão.;R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;COLCHONETE PARA MESA CIRÚRGICA;;;;;;;;;;;;;;;;;;;
31046;"SOLUÇÃO DE LUGOL 5% PARA EPF. Aplicação: Coloração de lâminas para exames parasitológicos de fezes.
Frasco de 1000 ML";R$ 50.000,00;UN;NFH;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;SOLUÇÃO DE LUGOL 5% PARA EPF;;;;;;;;;;;;;;;;;;;
31079;EXERCITADOR TUBING, exercitador musculatura, tipo 2 barras paralelas unidas por 1 mola de pressão, aplicação para exercícios da mão, características adicionais tipo de esforço: forte - em torno de 3,5 kg, tipo encaixe em formato de ´alicate´, com encaixes p/ os dedos, material em plástico de alta resistência.;R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;EXERCITADOR TUBING;;;;;;;;;;;;;;;;;;;
31102;"MALETA PRIMEIROS SOCORROS - resgate, Material: plástico resistente, largura 24, altura 22, profundidade 44, Características adicionais; 2 bandejas articuladas,14 compartimentos, outros componentes 2 miniestojos com 2 compartimentos cada";R$ 49.190,90;UN;NUAL;R$ 0,00;R$ 809,10;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 809,10;MALETA PRIMEIROS SOCORROS;;;;;;;;;;;;;;;;;;;
31109;BOLSA TÉRMICA, Descrição: bolsa térmica, Material: borracha, Características adicionais: com gel / revestimento maleável, capacidade 300.;R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;BOLSA TÉRMICA;;;;;;;;;;;;;;;;;;;
31116;EXERCITADOR TUBING, exercitador musculatura, tipo banda, anel sem emenda, aplicação pernas e quadris, características adicionais resistência extra forte, material borracha natural, largura cerca de 5, comprimento cerca de 30.;R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;EXERCITADOR TUBING;;;;;;;;;;;;;;;;;;;
31121;"Luva nitrílica descartável, não estéril, sem talco, punho curto, cor azul, tamanho grande. Aplicação: trabalhos que exijam tato e proteção contra reagentes químicos.
Aplicação (finalidade) Controle de Qualidade de Medicamentos, Cosméticos e Saneantes.
Tamanho/capacidade Grande
Características adicionais Proteção contra reagentes químicos
Forma de apresentação Unidade
Prazo de validade 75 % da validade total do produto
Unidade de fornecimento Unidade";R$ 50.000,00;UN;NFH;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;Luva nitrílica descartável;;;;;;;;;;;;;;;;;;;
31122;"Luva nitrílica descartável, não estéril, sem talco, punho curto, cor azul, tamanho médio. Aplicação: trabalhos que exijam tato e proteção contra reagentes químicos.
Aplicação (finalidade) Controle de Qualidade de Medicamentos, Cosméticos e Saneantes.
Tamanho/capacidade Médio
Características adicionais Proteção contra reagentes químicos
Forma de apresentação Unidade
Prazo de validade 75 % da validade total do produto
Unidade de fornecimento Unidade";R$ 50.000,00;UN;NFH;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;Luva nitrílica descartável;;;;;;;;;;;;;;;;;;;
31153;DISCO, ERTAPENEM, 10 MCG, CARACTERISTICA ADICIONAL: ANTIBIOGRAMA, APRESENTACAO: FRASCO 50 DISCOS;R$ 50.000,00;UN;NFH;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;DISCO;;;;;;;;;;;;;;;;;;;
31157;Equipo para uso exclusivo em bombas de infusão de marca SAMTRONIC ST1000 SET, para soluções fotossensíveis, com 240cm de comprimento, prime de 15ml, câmara gotejadora flexível com filtro de retenção de partículas de 15 microns, entrada de ar lateral com filtro bacteriológico de 0,2 microns e tampa. Tubo conector intermediário de silicone, injetor lateral em Y com membrana autocicatrizante, pinça rolete e luer lock retrátil com tampa protetora com filtro de membrana hidrofóbica. Fabricado com material atóxico e fotoprotetor, possui capa protetora da solução na cor âmbar para soluções fotossensíveis, embalagem individual em papel grau cirúrgico. Estéril, invólucro resistente ao manuseio, lacre capaz de manter sua integridade e esterilidade. Apresentação: embalagem individual.;R$ 50.000,00;UN;NFH;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;Equipo para uso exclusivo em bombas de infusão de marca SAMTRONIC ST1000 SET;;;;;;;;;;;;;;;;;;;
31158;Equipo para uso exclusivo em bombas de infusão da marca SAMTRONIC ST1000 SET, com comprimento mínimo de 240cm, câmara gotejadora flexível com filtro de retenção de partículas de 15 microns, entrada de ar lateral com filtro bacteriológico de 0,2 microns e tampa. Segmento em silicone, injetor lateral em Y com membrana autocicatrizante, pinça rolete, conector luer lock com tampa oclusora com filtro. Fabricado com material atóxico, embalagem individual em papel grau cirúrgico. Estéril, invólucro resistente ao manuseio, lacre capaz de manter sua integridade e esterilidade. Apresentação: embalagem individual. ;R$ 43.625,00;UN;NFH;R$ 0,00;R$ 0,00;R$ 0,00;R$ 6.375,00;R$ 0,00;R$ 0,00;R$ 6.375,00;EQUIPO PARA BOMBA DE INFUSÃO;;;;;;;;;;;;;;;;;;;
31162;ETIQUETA AUTOADESIVA, Cor: Vermelho, Tamanho: 4cm x 5cm com os dizeres: ATENÇÃO! MEDICAMENTO DE ALTA VIGILÂNCIA.;R$ 49.750,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 250,00;R$ 250,00;ETIQUETA AUTOADESIVA;;;;;;;;;;;;;;;;;;;
31165;"BOLA SUIÇA com especificações mínimas :Composta em látex de 1,5 mm de espessura; Peso máximo suportado: 200 kg; Tamanho e cor 75 cm laranja ;Dimensões: 55.0 cm x 55.0 cm x 75.0 cm (C x L x A) ;acompanhado posicionador inflável tamanho único Cor prata;Inflável (Composição:Policloreto de vinila com dimensões: 61.0 cm x 10.5 cm x7.0cm(CxLxA)Peso: 0.6 kg); itens inclusos , adaptador e extensor.";R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;BOLA SUIÇA com especificações mínimas ;;;;;;;;;;;;;;;;;;;
31206;PULSEIRA DE IDENTIFICAÇÃO NA COR VERMELHA COM A LOGOMARCA PERSONALIZADA (SES-DF). Características técnicas mínimas: confeccionada em papel sintético, isenta de aresta, atraumática, que permite o uso de caneta esferográfica, à prova d?água e/ou álcool, lacre adesivo inviolável, personalizáveis, antialérgicas, com medidas aproximadas entre 2,5 cm de largura (+/- 0,5 cm) x 25 cm de comprimento (+/- 5 cm), ajustáveis para o tamanho recém-nascidos, crianças e adulto. A embalagem deverá conter dados de identificação, procedência, e data de fabricação. Apresentação: embalagem com 1000 unidades. Unidade de estoque: unidade (UN). Código SES: 31206;R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;PULSEIRA DE IDENTIFICAÇÃO NA COR VERMELHA COM A LOGOMARCA PERSONALIZADA (SES-DF);;;;;;;;;;;;;;;;;;;
31207;PULSEIRA DE IDENTIFICAÇÃO NA COR LARANJA COM A LOGOMARCA PERSONALIZADA (SES-DF). Características técnicas mínimas: confeccionada em papel sintético, isenta de aresta, atraumática, que permite o uso de caneta esferográfica, à prova d?água e/ou álcool, lacre adesivo inviolável, personalizáveis, antialérgicas, com medidas aproximadas entre 2,5 cm de largura (+/- 0,5 cm) x 25 cm de comprimento (+/- 5 cm), ajustáveis para o tamanho recém-nascidos, crianças e adulto. A embalagem deverá conter dados de identificação, procedência e data de fabricação. Apresentação: embalagem com 1000 unidades. Unidade de estoque: unidade (UN). Código SES: 31207;R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;PULSEIRA DE IDENTIFICAÇÃO NA COR LARANJA COM A LOGOMARCA PERSONALIZADA (SES-DF);;;;;;;;;;;;;;;;;;;
31208;PULSEIRA DE IDENTIFICAÇÃO NA COR AMARELA COM A LOGOMARCA PERSONALIZADA (SES-DF). Características técnicas mínimas: confeccionada em papel sintético, isenta de aresta, atraumática, que permite o uso de caneta esferográfica, à prova d?água e/ou álcool, lacre adesivo inviolável, personalizáveis, antialérgicas, com medidas aproximadas entre 2,5 cm de largura (+/- 0,5 cm) x 25 cm de comprimento (+/- 5 cm), ajustáveis para o tamanho recém-nascidos, crianças e adulto. A embalagem deverá conter dados de identificação, procedência, e data de fabricação. Apresentação: embalagem com 1000 unidades. Unidade de estoque: unidade (UN). Código SES: 31208 ;R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;PULSEIRA DE IDENTIFICAÇÃO NA COR AMARELA COM A LOGOMARCA PERSONALIZADA (SES-DF);;;;;;;;;;;;;;;;;;;
31211;PULSEIRA DE IDENTIFICAÇÃO NA COR AZUL COM A LOGOMARCA PERSONALIZADA (SES-DF). Características técnicas mínimas: confeccionada em papel sintético, isenta de aresta, atraumática, que permite o uso de caneta esferográfica, à prova d?água e/ou álcool, lacre adesivo inviolável, personalizáveis, antialérgicas, com medidas aproximadas entre 2,5 cm de largura (+/- 0,5 cm) x 25 cm de comprimento (+/- 5 cm), ajustáveis para o tamanho recém-nascidos, crianças e adulto. A embalagem deverá conter dados de identificação, procedência e data de fabricação. Apresentação: embalagem com 1000 unidades. Unidade de estoque: unidade (UN). Código SES: 31211;R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;PULSEIRA DE IDENTIFICAÇÃO NA COR AZUL COM A LOGOMARCA PERSONALIZADA (SES-DF);;;;;;;;;;;;;;;;;;;
31212;"PULSEIRA DE IDENTIFICAÇÃO NA COR BRANCA . Características técnicas mínimas: confeccionada em papel sintético, isenta de aresta, atraumática, que permite o uso de caneta esferográfica, à prova d\'água e/ou álcool, lacre adesivo inviolável, personalizáveis, antialérgicas, com medidas aproximadas entre 2,5 cm de largura (+/- 0,5 cm) x 25 cm de comprimento (+/- 5 cm), ajustáveis para o tamanho recém-nascidos, crianças e adulto. A embalagem deverá conter dados de identificação, procedência e data de fabricação. Apresentação: embalagem com 1000 unidades. Unidade de estoque: unidade (UN). 
Código BR: 225101.";R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;PULSEIRA DE IDENTIFICAÇÃO NA COR BRANCA ;;;;;;;;;;;;;;;;;;;
31229;NAVALHA PARA MICRÓTOMO, Aplicação: corte de parafina, Material: aço inoxidável, Dimensões: 70  a 80 mm de comprimento X 08mm de largura, Caracteristicas adicionais: uso laboratorial e descartável, perfil baixo, Unidade de fornecimento: caixa com 50 unidades;R$ 46.050,00;CX;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 3.950,00;R$ 3.950,00;NAVALHA PARA MICRÓTOMO;;;;;;;;;;;;;;;;;;;
31318;LÂMPADA XENOPHOT HLX, 15 V, 150 W, para aparelho de videocolposcópio. Para referência, informamos que o modelo OSRAM 64634, atende ao HRG.;R$ 50.000,00;UN;NECFM;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;LAMPADA XENOPHOT HLX;;;;;;;;;;;;;;;;;;;
31330;JOGO DE CHAVE ALLEN. Aplicação/Finalidade: utilização na manutenção de equipamentos mecânicos. Material/Composição: aço com tratamento superficial oxidado. Tamanho: componentes com 6, 7, 8 e 9,50 mm (milímetros). Características Adicionais: formatos hexagonais, medida referência 1, 27 a 10. Processo de Esterilização: não se aplica. Forma de Apresentação: ferramenta. Prazo de Validade: indeterminado. Unidade de Estoque: jogo - JG.;R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;JOGO DE CHAVE ALLEN;;;;;;;;;;;;;;;;;;;
31407;GLUTARALDEÍDO SOLUÇÃO A 2% PRÉ-ATIVADA  ACOMPANHADA DE FITA REAGENTE. Aplicação: Desinfecção de alto nível de endoscópios, colonoscópios e broncoscópios. Solução com tempo máximo de exposição dos artigos ao produto de até 30 minutos e o tempo de eficiência da solução em uso deverá ser no mínimo de 14 dias. O produto deverá estar em consonância com as resoluções Anvisa RDC nº 35/2010 e RDC nº 06/2013. Deverá ser acompanhada de no mínimo 15 (QUINZE) fitas teste para cada 5 Litros da solução.;R$ 50.000,00;LI;NFH;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;GLUTARALDEÍDO SOLUÇÃO A 2% PRÉ-ATIVADA + FITA REAGENTE (MINIMO 50 FITAS/GALÃO);;;;;;;;;;;;;;;;;;;
