Entradas; 2.786.847,51 ;Empenhado;;;;;;;;;;;;CONTROLE - GAMA;;;;;;;;;;;;;;;;;;
Projeto Básico;Origem;Recebimento;;Responsável;;Item;;QTD COD;VG;NC;Descrição resumida dos itens adjudicados à empresa;Unid;;Empresa;;Qtd. A;V. unitário;V. Total;Fechamento;Nº DANFE;Data DANFE;Data de atesto;Data SEI;Nº TED;Data TED;Bimestre;Observações;Status da cotação;Início do processo;Duração Total (Uteis);Duração Até Hoje (Uteis);Desc Reduzida
345/2020;NFH;31/07/2020;00060-00328030/2020-16;Robson;546/2020;1;92133;3;X;X;CATETER DUPLO LUMEN PARA HEMODIALISE, USO ADULTO. Aplicação: Hemodialise. Material: poliuretano tipo 2, termosensível, radiopaco, centimentrado, estéril, descartável. Tamanho: Cateter com duplo lumen com 12 a 14FR, comprimento 20CM, com introdutor, dilatador de vaso, fio guia metálico demarcado com ponta em \'J\', seringa. Características adicionais: agulha introdutora com válvula antirefluxo, clamp duplo fixação, set punção, ponta atraumatica.;UN;50;ECOMED (701313);29.992.682/0001-48;15;120,8700000; R$1.813,05 ;12/08/2020;156715;14/08/2020;18/08/2020;19/08/2020;71355;01/09/2020;5;;;;;;
407/2020;NFH;08/09/2020;00060-00375381/2020-16;Robson;617/2020;1;95758;3;X;X;CONJUNTO PARA DETERMINAÇÃO DE GAMA GLUTAMIL TRANSFERASE. Aplicação:analise bioquimica. aracterísticas adicionais: equipamento automatizado. Forma de Apresentação:conjunto (kit). Prazo de Validade: 75% do prazo de validade do produto.;TE;1428;LABINBRAZ (1633);73.008.682/0001-52;1428;1,5900000; R$2.270,52 ;23/09/2020;156939;28/09/2020;30/09/2020;01/10/2020;14618;06/11/2020;6;;;;;;
407/2020;NFH;08/09/2020;00060-00375381/2020-16;Robson;617/2020;2;95776;3;X;X;CONJUNTO PARA DETERMINAÇAO DE CK. Aplicação:analise bioquimica. Características adicionais: equipamento automatizado. Forma de Apresentação:conjunto (kit).  Prazo de Validade: 75% do prazo de validade do produto;TE;1143;LABINBRAZ (1633);73.008.682/0001-52;1143;2,7000000; R$3.086,10 ;23/09/2020;156939;28/09/2020;30/09/2020;01/10/2020;14618;06/11/2020;6;;;;;;
407/2020;NFH;08/09/2020;00060-00375381/2020-16;Robson;617/2020;3;95773;2;X;X;CONJUNTO PARA DETERMINAÇAO DE TGP CINETICO, AUTOMAÇAO;TE;4287;LABINBRAZ (1633);73.008.682/0001-52;4287;1,8100000; R$7.759,47 ;23/09/2020;156939;28/09/2020;30/09/2020;01/10/2020;14618;06/11/2020;6;;;;;;
407/2020;NFH;08/09/2020;00060-00375381/2020-16;Robson;617/2020;4;95781;3;X;X;"CONJUNTO PARA DETERMINAÇAO DE MAGNESIO. Aplicação:analise bioquimica. Características adicionais: equipamento automatizado. Forma de Apresentação:conjunto (kit). 
Prazo de Validade: 75% do prazo de validade do produto.";TE;1954;LABINBRAZ (1633);73.008.682/0001-52;1348;1,6600000; R$2.237,68 ;23/09/2020;156939;28/09/2020;30/09/2020;01/10/2020;14618;06/11/2020;6;;;;;;
407/2020;NFH;08/09/2020;00060-00375381/2020-16;Robson;617/2020;5;95757;2;X;X;CONJUNTO PARA DETERMINAÇAO DE FOSFORO, AUTOMAÇAO. Aplicação:analise bioquimica. Características adicionais: equipamento automatizado. Forma de Apresentação: conjunto (kit). Prazo de Validade:75% do prazo de validade do produto.;TE;1170;LABINBRAZ (1633);73.008.682/0001-52;1170;1,4800000; R$1.731,60 ;23/09/2020;156939;28/09/2020;30/09/2020;01/10/2020;14618;06/11/2020;6;;;;;;
407/2020;NFH;08/09/2020;00060-00375381/2020-16;Robson;617/2020;6;95775;3;X;X;"CONJUNTO PARA DETERMINAÇAO DE CREATININA. Aplicação:analise bioquimica. Características adicionais: equipamento automatizado. Forma de Apresentação:conjunto (kit). 
Prazo de Validade: 75% do prazo de validade do produto.";TE;4866;LABINBRAZ (1633);73.008.682/0001-52;4866;2,1200000; R$10.315,92 ;23/09/2020;156939;28/09/2020;30/09/2020;01/10/2020;14618;06/11/2020;6;;;;;;
407/2020;NFH;08/09/2020;00060-00375381/2020-16;Robson;617/2020;7;95774;3;X;X;CONJUNTO PARA DETERMINAÇAO DE AMILASE CINETICO, AUTOMAÇAO. Aplicação:analise bioquimica. Características adicionais: equipamento automatizado. Forma de Apresentação: conjunto (kit). Prazo de Validade: 75% do prazo de validade do produto.;TE;485;LABINBRAZ (1633);73.008.682/0001-52;485;2,3300000; R$1.130,05 ;23/09/2020;156939;28/09/2020;30/09/2020;01/10/2020;14618;06/11/2020;6;;;;;;
259/2020;NFH;24/06/2020;00060-00264841/2020-81;Robson;418/2020;1;25945;2;X;X;GRAMPEADOR LINEAR CORTANTE 75-80MM - Grampeador linear cortante 75-80 mm, descartável, carregado, que dispare 4 linhas de grampos para tecidos normais cortando simultaneamente entre a segunda e a terceira linha de grampo. Grampos de titânio aberto com altura entre 3,8 - 4,4 mm e fechado... (COMPATÍVEL COM A CARGA DA MARCA COVIDIEN - devido constar estoque regular).;UN;5;DMI (2073);37.109.097/0001-85;5;524,0000000; R$2.620,00 ;06/07/2020;157627;08/07/2020;08/07/2020;17/07/2020;54250;03/08/2020;4; (COMPATÍVEL COM A CARGA DA MARCA COVIDIEN - devido constar estoque regular).;;;;;GABAPENTINA CAPSULA 300MG
437/2020;NFH;25/09/2020;00060-00403677/2020-34;Jefferson;639/2020;1;95312;1;X;X;CONJUNTO  PARA DETERMINAÇÃO DE PCR AUTOMAÇÃO;CJ;600;LABINBRAZ (1633);73.008.682/0001-52;571;7,5100000; R$4.288,21 ;09/10/2020;157713;09/10/2020;13/10/2020;21/10/2020;18102;11/11/2020;6;ANEXAR NA COTAÇÃO O DOCUMENTO SEI 47659679 COM OBSERVAÇÕES AO FONECEDOR;;;;;
489/2020;NFH;19/10/2020;00060-00446707/2020-05;Jefferson;700/2020;3;95775;3;X;X;"CONJUNTO PARA DETERMINAÇAO DE CREATININA. Aplicação:analise bioquimica. Características adicionais: equipamento automatizado. Forma de Apresentação:conjunto (kit). 
Prazo de Validade: 75% do prazo de validade do produto.";TE;9772;LABINBRAZ (1633);73.008.682/0001-52;3244;2,1200000; R$6.877,28 ;27/10/2020;158702;30/10/2020;05/11/2020;13/11/2020;31470;02/12/2020;6;vide projeto;;;;;
489/2020;NFH;19/10/2020;00060-00446707/2020-05;Jefferson;700/2020;7;95771;1;X;X;CONJUNTO PARA DETERMINAÇAO DE UREIA ENZIMATICA, AUTOMAÇAO;TE;12976;LABINBRAZ (1633);73.008.682/0001-52;3244;1,7200000; R$5.579,68 ;27/10/2020;158702;30/10/2020;05/11/2020;13/11/2020;31470;02/12/2020;6;vide projeto;;;;;
496/2020;NFH;22/10/2020;00060-00455560/2020-36;Jefferson;704/2020;1;95774;3;X;X;CONJUNTO PARA DETERMINAÇAO DE AMILASE CINETICO, AUTOMAÇAO. Aplicação:analise bioquimica. Características adicionais: equipamento automatizado. Forma de Apresentação: conjunto (kit). Prazo de Validade: 75% do prazo de validade do produto.;TE;1000;LABINBRAZ (1633);73.008.682/0001-52;970;2,3300000; R$2.260,10 ;27/10/2020;158704;30/10/2020;05/11/2020;13/11/2020;31591;02/12/2020;6;;;;;;
503/2020;NFH;09/11/2020;00060-00476352/2020-71;Clayton;712/2020;1;95046;6;X;X;ALCOOL ETILICO ABSOLUTO 99,5 GL, Aplicação: fixação de material em lâminas, Características Adicionais: líquido odor agradável inflamável, Forma De Apresentação: frasco 1000ml;FR;120;DMI (2073);37.109.097/0001-85;120;6,4500000; R$774,00 ;14/11/2020;167614;16/11/2020;16/11/2020;17/11/2020;31831;03/12/2020;6;Tinha sido suspenso em 09/11/2020 por falta de recurso financeiro;;;;;
416/2020;NFH;10/09/2020;00060-00383879/2020-52;Clayton;680/2020;1;90949;6;X;X;ONDANSETRONA SOLUÇAO INJETAVEL 2 MG/ML AMPOLA 4 ML;AMP;3000;PROMEFARMA (702114);81.706.251/0001-98;1500;1,2700000; R$1.905,00 ;09/10/2020;168083;19/10/2020;26/10/2020;03/11/2020;18150;11/11/2020;6;19/10 PDPAS.ALMOX;;;;;
088/2020;NFH;30/03/2020;00060-00128915/2020-17;Clayton;123/2020;1;20833;2;X;X;ACICLOVIR POMADA OFTALMICA 0,03 G/G BISNAGA 4,5 G;BS;10;LINK MED (701254);08.486.302/0001-23;10;18,0000000; R$180,00 ;02/04/2020;211374;03/04/2020;07/04/2020;07/04/2020;97705;29/04/2020;2;;;;;;DIAZEPAM SOLUCAO INJETAVEL 5 MG/ML AMPOLA 2 ML
223/2019;NFH;01/11/2019;00060-00455557/2019-89;Clayton;.376/2019;1;95244;2;X;X;CONJUNTO PARA DETERMINAÇÃO DE DOENÇA DE CHAGAS - REACAO HEMAGLUTINAÇAO INDIRETA;TE;400;PMH (347);00.740.696/0001-92;384;0,7000000; R$268,80 ;05/11/2019;216203;05/11/2020;23/01/2020;23/01/2020;44898;24/01/2020;A/A;;;;;;LUVA CIRURGICA CONVENCIONAL Nº 7
007/2020;NFH;21/01/2020;00060-00024026/2020-81;Clayton;010/2020;1;95244;2;X;X;CONJUNTO PARA DETERMINAÇÃO DE DOENÇA DE CHAGAS - REACAO HEMAGLUTINAÇAO INDIRETA;TE;400;PMH (347);00.740.696/0001-92;384;0,7000000; R$268,80 ;23/01/2020;223949;24/01/2020;29/01/2020;31/01/2020;73878;09/03/2020;2;;;;;;SENSOR DE SPO2 REUSÁVEL
022/2020;NFH;29/01/2020;00060-00034622/2020-70;Jefferson;034/2020;1;95673;1;X;X;CALDO LACTOSADO BILE VERDE BRILHANTE FRASCO 500GR;FR;3;PMH (347);00.740.696/0001-92;3;320,0000000; R$960,00 ;31/01/2020;228553;10/03/2020;11/03/2020;13/03/2020;84265;26/03/2020;2;;;;;;DISCO CD-R GRAVÁVEL
062/2020;NFH;10/03/2020;00060-00089112/2020-30;Clayton;087/2020;1;33995;1;X;X;REAGENTE PARA DIAGNÓSTICO CLÍNICO, TIPO CONJUNTO COMPLETO, TIPO DE ANÁLISE QUALITATIVO ANTI DENGUE VÍRUS IGG E IGM, MÉTODO IMUNOCROMATOGRAFIA, APRESENTAÇÃO TESTE;TE;6000;PMH (347);00.740.696/0001-92;3650;4,8000000; R$17.520,00 ;13/03/2020;229814;20/03/2020;20/03/2020;24/03/2020;90758;14/04/2020;2;;;;;;EOSINA AMARELA - Corante citopatológico e histopatológico para colorações de rotina (Papanicolau e H/E)
105/2020;NFH;08/04/2020;00060-00146409/2020-18;Jefferson;152/2020;1;92445;6;X;X;SONDA DE FOLEY 2 VIAS LÁTEX Nº 14. Aplicação: para drenagem e controle da diurese e irrigação vesical. Material: Látex atóxico.  Características Adicionais: estéril, descartável, siliconizada, medindo no mínimo 40 cm, apresentando flexibilidade e maleabilidade adequado ao fim a que se destina, que não cause irritação ao paciente, apresentando espessura uniforme, isenta de manchas ou quaisquer defeitos, balão com capacidade de 05 a 15 ml e boa distensibilidade, com válvula fixa que permita perfeita adaptação em seringas. Ponta arredondada e fechada, apresentando 02 orifícios ovais situados em lados opostos, delimitados e proporcionais ao diâmetro, isentos de rebarbas e/ou saliências que possam traumatizar o paciente. Embalagem dupla, sendo a externa em papel grau cirúrgico e a interna em polietileno picotada nas extremidades, favorecendo a abertura em técnica asséptica e garantindo a integridade e esterilidade do produto. Apresentação: embalagem individual, acondicionada em caixa com 10 unidades. Unidade de Estoque: unidade (UN). Código SES: 092445. BR0279768;UN;100;PMH (347);00.740.696/0001-92;100;2,8900000; R$289,00 ;11/04/2020;231934;13/04/2020;13/04/2020;15/04/2020;98281;30/04/2020;2;;;;;;ALFAEPOETINA SOLUÇAO INJETAVEL 4000 UI SERINGA PREENCHIDA OU FRASCO-AMPOLA OU AMPOLA
100/2020;NFH;07/04/2020;00060-00146126/2020-68;Jefferson;148/2020;1;33960;2;X;X;TESTE RÁPIDO PARA DETECÇÃO DOS ANTICORPOS IGG E IGM E ANTÍGENO NS1 PARA O VÍRUS DA DENGUE. Aplicação (finalidade): Destinado à detecção qualitativa dos anticorpos IgG e IgM e antígeno NS1 para o vírus da dengue. Características adicionais: Teste imucromatográfico rápido para a detecção qualitativa dos anticorpos IgG e IgM e antígeno NS1 para o vírus da dengue. Apresentação teste. Prazo de validade: No mínimo 75% da validade total registrada na embalagem do produto no momento da entrega. Embalagem: Teste embalado individualmente.;TE;3000;PMH (347);00.740.696/0001-92;1500;6,7500000; R$10.125,00 ;11/04/2020;231991;13/04/2020;15/04/2020;20/04/2020;98261;30/04/2020;2;;;;;;
117/2020;NFH;15/04/2020;00060-00155787/2020-84;Clayton;167/2020;1;92473;1;X;X;SONDA NASOGÁSTRICA LONGA Nº 20;UN;100;PMH (347);00.740.696/0001-92;100;1,3000000; R$130,00 ;17/04/2020;232745;20/04/2020;22/04/2020;28/04/2020;17894;04/06/2020;3;;;;;;BISACODIL DRAGEA 5 MG 
100/2020;NFH;07/04/2020;00060-00146126/2020-68;Jefferson;148/2020;1;33960;2;X;X;TESTE RÁPIDO PARA DETECÇÃO DOS ANTICORPOS IGG E IGM E ANTÍGENO NS1 PARA O VÍRUS DA DENGUE. Aplicação (finalidade): Destinado à detecção qualitativa dos anticorpos IgG e IgM e antígeno NS1 para o vírus da dengue. Características adicionais: Teste imucromatográfico rápido para a detecção qualitativa dos anticorpos IgG e IgM e antígeno NS1 para o vírus da dengue. Apresentação teste. Prazo de validade: No mínimo 75% da validade total registrada na embalagem do produto no momento da entrega. Embalagem: Teste embalado individualmente.;TE;3000;PMH (347);00.740.696/0001-92;1100;6,7500000; R$7.425,00 ;11/04/2020;232926;23/04/2020;28/04/2020;28/04/2020;18232;04/06/2020;3;;;;;;
016/2020;NFH;24/01/2020;00060-00028569/2020-78;Robson;028/2020;5;90575;1;X;X;"SOLUCAO ACIDA P/ HEMODIALISE GALAO DE 5L P/MAQ. MISTURA PROPORCIONAL COM K=2,0MEQ/L; CA=2,5MEQ/L.";GL;320;FARMARIN (701211);58.635.830/0001-75;320;13,4100000; R$4.291,20 ;03/02/2020;235563;05/02/2020;10/02/2020;10/02/2020;73951;09/03/2020;2;;;;;;0
016/2020;NFH;24/01/2020;00060-00028569/2020-78;Robson;028/2020;6;90576;1;X;X;SOLUCAO BASICA (COM BICARBONATO DE SODIO A 8,4 %) P/HEMODIALISE GALAO DE 5L MAQ. MISTURA PROPORCIONAL;GL;320;FARMARIN (701211);58.635.830/0001-75;320;12,0500000; R$3.856,00 ;03/02/2020;235563;05/02/2020;10/02/2020;10/02/2020;73951;09/03/2020;2;;;;;;MEIO MONTAGEM P/MICROSC
215/2020;NFH;04/06/2020;00060-00230435/2020-15;Robson;333/2020;1;92034;2;X;X;TUBO ENDOTRAQUEAL, MATERIAL PVC SILICONIZADO ATÓXICO, TAMANHO 7,5, APLICAÇÃO ORAL, CARACTERÍSTICAS ADICIONAIS CURVA PRÉ-FORMADA, TIPO CONECTOR ADAPTÁVEL,SUPERFÍCIE LISA, TRANSMITÂNCIA LINHA RADIOPACA DE PONTA A PONTA, COMPONENTES BALÃO DE ALTO VOLUME E BAIXA PRESSÃO, TIPO USO DESCARTÁVEL, ESTERILIDADE ESTÉRIL, EMBALAGEM INDIVIDUAL.;UN;100;PMH (347);00.740.696/0001-92;100;4,4000000; R$440,00 ;09/06/2020;238847;17/06/2020;18/06/2020;22/06/2020;32493;29/06/2020;3;;;;;;GLICLAZIDA COMPRIMIDO DE LIBERACAO PROLONGADA 30 MG
281/2020;NFH;29/06/2020;00060-00276344/2020-26;Jefferson;455/2020;1;90580;5;X;X;AGUA PARA INJETAVEIS AMPOLA 10 ML;AMP;16000;FARMARIN (701211);58.635.830/0001-75;16000;0,1800000; R$2.880,00 ;07/07/2020;250580;10/07/2020;17/07/2020;21/07/2020;54255;03/08/2020;4;;;;;;LUVA CIRURGICA CONVENCIONAL Nº 6,5
277/2020;NFH;29/06/2020;00060-00275483/2020-32;Jefferson;452/2020;1;90555;3;X;X;CLORETO DE SODIO SOLUÇAO INJETAVEL 20 % (3,4 MEQ/ML) AMPOLA 10 ML;AMP;1000;FARMARIN (701211);58.635.830/0001-75;1000;0,2700000; R$270,00 ;07/07/2020;250581;10/07/2020;27/07/2020;21/07/2020;53926;03/08/2020;4;;;;;;LUVA CIRURGICA CONVENCIONAL Nº 7
283/2020;NFH;30/06/2020;00060-00281154/2020-21;Jefferson;458/2020;1;91118;2;X;X;EQUIPO DE SAÍDA - LINHA VENOSA, ESTÉRIL, Aplicação: hemodiálise. Material: PVC atóxico. Características Adicionais: Transparente, flexível, com filtro, espessura 6mm, com conexões para medicação, com corta fluxo resistente. Embalagem individual em papel grau cirúrgico, que permita a abertura em técnica asséptica, capaz de assegurar a esterilidade do produto durante o transporte, armazenamento, até o momento do uso.;UN;250;FARMARIN (701211);58.635.830/0001-75;240;5,8000000; R$1.392,00 ;07/07/2020;250583;10/07/2020;17/07/2020;21/07/2020;54189;03/08/2020;4;;;;;;SONDA DE FOLEY 2 VIAS LÁTEX Nº 18
297/2020;NFH;09/07/2020;00060-00296022/2020-01;Jefferson;481/2020;1;24558;2;X;X;LINHA ARTERIAL DE ENTRADA SIMPLES PARA HEMODIÁLISE 8 MM;UN;300;FARMARIN (701211);58.635.830/0001-75;200;5,8000000; R$1.160,00 ;07/07/2020;251266;17/07/2020;21/07/2020;23/07/2020;53969;03/08/2020;4;;;;;;NOREPINEFRINA (HEMITARTARATO
003/2020;NUAL;22/01/2020;00060-00027631/2020-12;Clayton;019/2020;2;201158;4;X;X;SAPATILHA DESCARTÁVEL. Material: polipropileno antiderrapante, Características Adicionais: gramatura mínima de 40g/m², resistente, com acabamento elástico que permita bom ajuste e cobertura completa do calçado até o tornozelo. Tamanho com aproximadamente 35 cm de comprimento por 20 cm de altura. Embalagem com 50 pares (100 unidades). Unidade de estoque: par (PAR). Unidade de fornecimento: par.;PR;20000;MAFRA (703141);12.420.164/0009-04;20000;0,1478000; R$2.956,00 ;24/01/2020;298470;27/01/2020;27/01/2020;27/01/2020;73207;06/03/2020;2;;;;;;0
003/2020;NUAL;22/01/2020;00060-00027631/2020-12;Clayton;019/2020;3;63295;3;X;X;TOUCA HOSPITALAR DESCARTÁVEL,Material: tecido não tecido, Tipo Uso: descartável, Gramatura: 20 g/m², Características Adicionais:  com elástico em toda volta (tipo elastex);UN;20000;MAFRA (703141);12.420.164/0009-04;20000;0,0498000; R$996,00 ;24/01/2020;298470;27/01/2020;27/01/2020;27/01/2020;73207;06/03/2020;2;;;;;;TESTE RAPIDO TROPONINA
026/2020;NFH;30/01/2020;00060-00036729/2020-52;Jefferson;044/2020;1;90889;1;X;X;CEFTRIAXONA (SODICA) PO PARA SOLUCAO INJETAVEL 1G FRASCO AMPOLA;FA;3000;MAFRA (703141);12.420.164/0009-04;1000;7,8940000; R$7.894,00 ;31/01/2020;300766;03/02/2020;03/02/2020;04/02/2020;73933;09/03/2020;2;;;;;;
027/2020;NFH;30/01/2020;00060-00036798/2020-66;Jefferson;043/2020;1;90949;6;X;X;ONDANSETRONA SOLUÇAO INJETAVEL 2 MG/ML AMPOLA 4 ML;AMP;2000;MAFRA (703141);12.420.164/0009-04;2000;1,4700000; R$2.940,00 ;31/01/2020;300775;03/02/2020;03/02/2020;04/02/2020;73286;06/03/2020;2;;;;;;
024/2020;NFH;29/01/2020;00060-00036537/2020-46;Clayton;032/2020;1;90925;7;X;X;CEFAZOLINA SODICA PO PARA SOLUCAO INJETAVEL 1 G FRASCO AMPOLA;AMP;3000;MAFRA (703141);12.420.164/0009-04;350;16,5994000; R$5.809,79 ;31/01/2020;300788;03/02/2020;03/02/2020;04/02/2020;74095;09/03/2020;2;;;;;;FAIXA DE ESMARCH 12CMX200CM 
023/2020;NFH;29/01/2020;00060-00036488/2020-41;Clayton;031/2020;1;21593;3;X;X;OXICODONA COMPRIMIDO REVESTIDO DE LIBERAÇÃO CONTROLADA 20MG;CP;200;MAFRA (703141);12.420.164/0009-04;196;12,4839000; R$2.446,84 ;31/01/2020;300829;03/02/2020;03/02/2020;04/02/2020;74005;09/03/2020;2;;;;;;DISCO CD-R GRAVÁVEL
015/2020;NFH;24/01/2020;00060-00027893/2020-79;Robson;027/2020;1;90610;9;X;X;HEPARINA SODICA SOLUÇAO INJETAVEL 5000 UI/ML FRASCO AMPOLA 5 ML;FA;300;MAFRA (703141);12.420.164/0009-04;300;16,5200000; R$4.956,00 ;03/02/2020;300975;03/02/2020;03/02/2020;04/02/2020;73171;06/03/2020;2;;;;;;CORTINA HOSPITALAR
036/2020;NFH;30/01/2020;00060-00037741/2020-84;Clayton;038/2020;4;18929;3;X;X;CLONIDINA (CLORIDRATO) SOLUÇAO INJETAVEL 150 MCG AMPOLA DE 1 ML;UN;120;MAFRA (703141);12.420.164/0009-04;120;6,4700000; R$776,40 ;04/02/2020;301172;04/02/2020;04/02/2020;05/02/2020;74563;09/03/2020;2;;;;;;REGUA ENDODONTICA
036/2020;NFH;30/01/2020;00060-00037741/2020-84;Clayton;038/2020;5;90260;4;X;X;DOBUTAMINA (CLORIDRATO) SOLUCAO INJETAVEL 12,5 MG/ML AMPOLA 20 ML;AMP;300;MAFRA (703141);12.420.164/0009-04;300;5,7900000; R$1.737,00 ;04/02/2020;301195;04/02/2020;04/02/2020;05/02/2020;73916;09/03/2020;2;;;;;;PASTA PROFILÁTICA DE USO ODONTOLÓGICO
036/2020;NFH;30/01/2020;00060-00037741/2020-84;Clayton;038/2020;7;10277;2;X;X;"LEVOFLOXACINO SOLUÇAO INJETAVEL 500 MG/100 ML BOLSA OU FRASCO 100 ML SISTEMA FECHADO DE INFUSAO. Características Adicionais: A bolsa ou frasco deve conter graduação volumétrica; permitir o escoamento total da solução, sem haver necessidade de entrada de ar. Conter um ou dois sítios. Se dois sítios - um autovedável e outro protegido por membrana e lacre de esterilidade para conexão do equipo, se um sítio - membrana autovedável. O sítio de conexão do equipo deve ser protegido por membrana e lacre de esterilidade, ser adaptável e moldável a qualquer equipo e não permitir sua desconexão e vazamento.";UN;300;MAFRA (703141);12.420.164/0009-04;300;13,9900000; R$4.197,00 ;04/02/2020;301195;04/02/2020;04/02/2020;05/02/2020;73916;09/03/2020;2;;;;;;BENZOCAINA
036/2020;NFH;30/01/2020;00060-00037741/2020-84;Clayton;038/2020;10;90600;2;X;X;PROTAMINA (CLORIDRATO) SOLUÇAO INJETAVEL 10 MG/ML AMPOLA 5 ML;AMP;25;MAFRA (703141);12.420.164/0009-04;25;2,6900000; R$67,25 ;04/02/2020;301195;04/02/2020;04/02/2020;05/02/2020;73916;09/03/2020;2;;;;;;ALICATE DE BICO
037/2020;NFH;30/01/2020;00060-00037881/2020-52;Jefferson;041/2020;1;8829;1;X;X;CLONAZEPAM SOLUÇÃO ORAL 2,5 MG/ML FRASCO 20 ML;FR;30;MAFRA (703141);12.420.164/0009-04;30;2,4500000; R$73,50 ;05/02/2020;301663;05/02/2020;05/02/2020;07/02/2020;72838;06/03/2020;2;;;;;;PILHA
043/2020;NFH;05/02/2020;00060-00044327/2020-21;Robson;056/2020;5;24668;1;X;X;CONTRASTE RADIOLOGICO NAO IONICO HIPOSMOLAR SOLUÇÃO INJETAVEL TEOR EM IODO DE 300MG/ML A 350 MG/ML FRASCO AMPOLA 50 ML;FA;300;MAFRA (703141);12.420.164/0009-04;300;28,5000000; R$8.550,00 ;12/02/2020;304472;12/02/2020;13/02/2020;18/02/2020;73965;09/03/2020;2;DESERTO;;;;;ALÇA CALIBRADA DESCARTÁVEL
043/2020;NFH;05/02/2020;00060-00044327/2020-21;Robson;056/2020;4;10275;4;X;X;"FLUCONAZOL SOLUCAO INJETAVEL 2 MG/ML BOLSA OU FRASCO 100 ML SISTEMA FECHADO DE INFUSAO. A bolsa ou frasco deve conter graduação volumétrica; permitir o escoamento total da solução, sem haver necessidade de entrada de ar. Conter um ou dois sítios. Se dois sítios - um autovedável e outro protegido por membrana e lacre de esterilidade para conexão do equipo, se um sítio - membrana autovedável. O sítio de conexão do equipo deve ser protegido por membrana e lacre de esterilidade, ser adaptável e moldável a qualquer equipo e não permitir sua desconexão e vazamento.";UN;100;MAFRA (703141);12.420.164/0009-04;100;12,3500000; R$1.235,00 ;12/02/2020;304472;12/02/2020;13/02/2020;18/02/2020;73965;09/03/2020;2;;;;;;0
033/2020;NFH;30/01/2020;00060-00037158/2020-73;Jefferson;046/2020;1;90551;2;X;X;BICARBONATO DE SODIO SOLUCAO INJETAVEL 8,4 %        (1 MEQ/ML) FRASCO 250 ML;FR;200;HOSPFAR 0001 (2875);26.921.908/0001-21;175;18,5200000; R$3.241,00 ;31/01/2020;305296;03/02/2020;03/02/2020;04/02/2020;73268;06/03/2020;2;;;;;;
050/2020;NFH;18/02/2020;00060-00063199/2020-15;Clayton;066/2020;1;10232;1;X;X;"CLORETO DE SODIO 0,9 % SOLUÇAO INJETAVEL BOLSA OU FRASCO 100 ML SISTEMA FECHADO DE INFUSAO . Características Adicionais: a bolsa ou o frasco deve conter graduação volumétrica; ter colapsabilidade a fim de permitir o escoamento total da solução , sem haver necessidade de entrada de ar; conter dois sítios, sendo um protegido por menbrana autovedável para adição de soluções no interior da bolsa ou do frasco e outro por membrana e lacre de esterilidade para conexão do equipo. O sítio de conexão do equipo deve ser adaptável e moldável a qualquer equipo e não permitir sua desconexão e vazamento, mantendo a bolsa ou o frasco em sistema fechado";UN;10000;MAFRA (703141);12.420.164/0009-04;3000;1,9445000; R$5.833,50 ;20/02/2020;307287;20/02/2020;20/02/2020;28/02/2020;84227;26/03/2020;2;;;;;;CATETER DUPLO LUMEN PARA HEMODIALISE
051/2020;NFH;18/02/2020;00060-00065080/2020-87;Clayton;067/2020;1;90580;5;X;X;AGUA PARA INJETAVEIS AMPOLA 10 ML;AMP;15000;MAFRA (703141);12.420.164/0009-04;400;0,1501500; R$60,06 ;20/02/2020;307325;20/02/2020;21/02/2020;28/02/2020;84181;26/03/2020;2;;;;;;LUVA NITRÍLICA P
048/2020;NFH;13/02/2020;00060-00059269/2020-31;Robson;064/2020;1;52018;2;X;X;ALFAEPOETINA SOLUÇAO INJETAVEL 4000 UI SERINGA PREENCHIDA OU FRASCO-AMPOLA OU AMPOLA;UN;150;MAFRA (703141);12.420.164/0009-04;150;18,5800000; R$2.787,00 ;20/02/2020;307827;21/02/2020;21/02/2020;28/02/2020;84255;26/03/2020;2;;;;;;CABO UTP CAT 5E
053/2020;NFH;18/02/2020;00060-00067569/2020-93;Jefferson;069/2020;1;19211;1;X;X;FENTANILA ADESIVO TRANSDERMICO 50 MCG/HORA;UN;30;MAFRA (703141);12.420.164/0009-04;25;106,6200000; R$2.665,50 ;21/02/2020;307913;21/02/2020;21/02/2020;28/02/2020;84257;26/03/2020;2;;;;;;SISTEMA FECHADO DE ASPIRAÇÃO TRAQUEAL VIA TUBO OROTRAQUEAL ADULTO 16 FR
057/2020;NFH;21/02/2020;00060-00075347/2020-44;Clayton;076/2020;1;90863;1;X;X;FLUMAZENIL SOLUÇAO INJETAVEL 0,5 MG/ 5ML AMPOLA 5 ML;AMP;50;MAFRA (703141);12.420.164/0009-04;50;8,8120000; R$440,60 ;13/03/2020;315768;17/03/2020;18/03/2020;20/03/2020;84082;26/03/2020;2;;;;;;SISTEMA FECHADO DE ASPIRAÇÃO TRAQUEAL VIA CÂNULA DE TRAQUEOSTOMIA ADULTO 16 FR
