Name;Acrilico;Diversos / Problematico;Eletrica, Hidra˙lica, Marcenaria, Serralheria;Equipamentos - PeÁas e ServiÁos;Fios de Sutura;Fisioterapia;Gases Medicinais;Instrumental Cir˙rgico;LaboratÛrio;Lavanderia, Hotelaria;Medicamentos;Material Medico;Odonto;Papelaria, Inform·tica;Radiologia;ServiÁos Gr·ficos;DedetizaÁ„o;;;;;;;;;;;;;;;
MEDKONBRASILIA;;;;X;;;;;;;;;;;;;;MEDKONBRASILIA@HOTMAIL.COM;;;;;;;;;;;;;;
MEDLINN - ADMILTON;;;;;;;;;;;;X;;;;;;ademilton.dantas@gmail.com;;;;;;;;;;;;;;
MEDLINN - COMERCIAL;;;;;;;;;;;;X;;;;;;comercial@medlinn.com.br;;;;;;;;;;;;;;
MEDLINN - JOMARIO;;;;;;;;;;;;X;;;;;;LICITACOES@MEDLINN.COM.BR;;;;;;;;;;;;;;
MEDLINN - MATHEUS;;;;;;;;;;;;X;;;;;;vendas4@medlinn.com.br;;;;;;;;;;;;;;
MEDLINN - VENDAS;;;;;;;;;;;;X;;;;;;vendas01@medlinn.com.br;;;;;;;;;;;;;;
MEDLIVE;;;;;;;;;X;;X;X;X;;;;;compradireta@medlive.com.br;;;;;;;;;;;;;;
MEDLIVE;;;;;;;;;X;;X;X;X;;;;;cnunes@medlive.com.br;;;;;;;;;;;;;;
MEDLIVE;;;;;;;;;X;;X;X;X;;;;;chermes@medlive.com.br;;;;;;;;;;;;;;
MEDLIVE - FERNANDA;;;;;;;;;X;;X;X;X;;;;;fmorinel@medlive.com.br;;;;;;;;;;;;;;
MEDLIVE - NAYARA;;;;;;;;;X;;X;X;X;;;;;pgervasoni@medlive.com.br;;;;;;;;;;;;;;
MEDSELL;;;;X;;;;;;;;;;;;;;leandro.medsell@gmail.com;;;;;;;;;;;;;;
MEDSONDA;;;;;;;;;;;;X;;;;;;jotaray@gmail.com;;;;;;;;;;;;;;
MEDSONDA 2;;;;;;;;;;;;X;;;;;;licitacoes2@medsonda.com.br;;;;;;;;;;;;;;
MEDSTAR;;;;;;;;;;;X;X;;;;;;mesdstar.vendas@gmail.com;;;;;;;;;;;;;;
MEDTEC;;;;X;;;;;;;;X;;;;;;silvio@medtecnet.com.br;;;;;;;;;;;;;;
MEDTECNET;;;;X;;;;;;;;;;;;;;pythagoras@medtecnet.com.br;;;;;;;;;;;;;;
MERCANTIL ARAGUAIA;;X;;;;;;;;;;;;;;;;mercantilaraguaia@terra.com.br;;;;;;;;;;;;;;
META COMERCIAL;;;;;;;;;;X;;;;;;;;silvanarochalima@hotmail.com;;;;;;;;;;;;;;
METHABIO;;;;;;;;;X;;X;X;;;;;;comercial@methabio.com.br;;;;;;;;;;;;;;
METHABIO - DEIVID;;;;;;;;;X;;X;X;;;;;;deivid@methabio.com.br;;;;;;;;;;;;;;
METHABIO - VERONICA;;;;;;;;;X;;X;X;;;;;;empenhos@methabio.com.br;;;;;;;;;;;;;;
METHABIO - waunner;;;;;;;;;X;;X;X;;;;;;waunner@methabio.com.br;;;;;;;;;;;;;;
METR”POLE;;X;;;;;;;;;;;;;;;;mauricio@metropolehospitalar.com.br;;;;;;;;;;;;;;
MF Hospitalar;;X;;;;;;;;;;;;;;;;comercial@mfhospitalar.com.br;;;;;;;;;;;;;;
MF HOSPITALAR - LUIZ;;X;;;;;;;;;;;;;;;;luiz.oliveira@mfhospitalar.com.br;;;;;;;;;;;;;;
MF Hospitalar 2;;;;;;;;;;;;X;;;;;;vendas3388@gmail.com;;;;;;;;;;;;;;
MG DIAGNOSTICA;;;;;;;;;X;X;X;;;;;;;mgdiagnosticadadf@gmail.com;;;;;;;;;;;;;;
MI;;X;;;;;;;;;;;;;;;;diretoria.mi@terra.com.br;;;;;;;;;;;;;;
MI;;x;;;;;;;;;;;;;;;;vendas.mi@terra.com.br;;;;;;;;;;;;;;
MICROLASER;;;;X;;;;;;;;;;;;;;contato@microlaser-go.com.br;;;;;;;;;;;;;;
MICROMEDICAL;;;;X;;;;;;;;X;;;;;;licitacao@micromedicalsaude.com.br;;;;;;;;;;;;;;
MICROSCOPIA RIBEIRO;;;;X;;;;;;;;;;;;;;microscopiaribeiro2018@gmail.com;;;;;;;;;;;;;;
MICROSCOPIA RIBEIRO 2;;;;X;;;;;;;;;;;;;;micomercioltda@gmail.com;;;;;;;;;;;;;;
MINASREY;;;;;;;;;;;;X;;;;;;gsouzat28@gmail.com;;;;;;;;;;;;;;
MISSNER;;;;;;;;;;;;X;;;;;;representacoesdf@yahoo.com.br;;;;;;;;;;;;;;
MISSNER 2;;;;;;;;;;;;X;;;;;;jcxmedicamentos@gmail.com;;;;;;;;;;;;;;
MJCR;;;;X;;;;X;;;;X;;;;;;mjcr.empresa@gmail.com;;;;;;;;;;;;;;
MONTEGGIA - Escovas;;;;X;;;;X;;;;X;;;;;;comercial@monteggia.com.br;;;;;;;;;;;;;;
MPM PLASTIC;;;;;;;;;;;;X;;;;;;vendas@lwmplastic.com.br;;;;;;;;;;;;;;
MS HOSPITALAR;X;;X;X;;;;X;X;X;X;X;X;X;;X;;silvanarochalima@hotmail.com;;;;;;;;;;;;;;
MS HOSPITALAR;;;;X;;;;;;;;;;;;;;Mshospitalarlicitacao@gmail.com;;;;;;;;;;;;;;
MULTICANAL;;;X;X;;;;X;X;X;;X;X;X;X;X;;luizescuro@gmail.com;;;;;;;;;;;;;;
MULTIPLA;;;;;;;;;;;X;X;;;;;;comercial@multiplahospitalar.com.br;;;;;;;;;;;;;;
MULT-ITENS;;;X;;;;;;;;;;;X;;;;samueldemoraescosta@gmail.com;;;;;;;;;;;;;;
MULTMED;;;;X;;;;;;;;;;;;;;multmed96@gmail.com;;;;;;;;;;;;;;
MUNDO DOS COUROS;;;X;;;;;;;;;;;;;;;mundocouros@gmail.com;;;;;;;;;;;;;;
NEFILINS DF (RAMIRO);X;X;X;X;;;X;X;X;X;X;X;X;X;X;X;X;nefilinsdf@gmail.com;;;;;;;;;;;;;;
NEFROLOGIA - HRSM;;X;;;;;;;;;;;;;;;;cm.nefrohrsm@gmail.com;;;;;;;;;;;;;;
NEOCLEAN;;;;X;;;;X;X;X;;X;;;;;;larijs@outook.com;;;;;;;;;;;;;;
NEOMED;;x;;;;;;;;;;;;;;;;thuane.melo@neomed.bio.br;;;;;;;;;;;;;;
NEOMED;;;;;;;;;;;;X;;;;;;cotacoes@neomed.bio.br;;;;;;;;;;;;;;
NEW DESC;;;;;;;;;;;;X;;;;;;nlph@hotmail.com;;;;;;;;;;;;;;
NOVA EL…TRICA;;;X;X;;;;;;;;;;;;;;novaeletricacircuito@gmail.com;;;;;;;;;;;;;;
NOVAGOIAS;;;;X;;;;;;;;;;;;;;novagoias.df@gmail.com;;;;;;;;;;;;;;
NOVALUZ;;;X;;;;;;;;;;;;;;;novaluzeletricahidraulica@gmail.com;;;;;;;;;;;;;;
NR GOIAS / NR HOSPITALAR;;;;;;;;X;;X;X;X;;X;;;;comercial.nrgoias@gmail.com;;;;;;;;;;;;;;
NR GOIAS / NR HOSPITALAR;;X;;;;;;;;;;;;;;;;cotacao.pdpas@nrindustria.com.br;;;;;;;;;;;;;;
NR GOIAS / NR HOSPITALAR - FILIAL;;;;;;;;X;;X;X;X;;X;;;;cotacao.nrfilial@gmail.com;;;;;;;;;;;;;;
OCTALAB;;;;;;;;;;;X;;;;;;;vendasoctalab@hotmail.com;;;;;;;;;;;;;;
ODONTO LIMA LTDA;;;;;;;;;;;;;X;;;;;odontolimaltda@hotmail.com;;;;;;;;;;;;;;
ODONTO M…DICA PLANALTO;;;;;;;;;;;;;X;;;;;omplanalto@gmail.com;;;;;;;;;;;;;;
ODONTO MEDICA RIO VERDE;;;;;;;;;;;;;X;;;;;assitec@odontomedicarioverde.com.br;;;;;;;;;;;;;;
ODONTO QUINELATO;;;;;;;;;;;;;X;;;;;odonto@quinelato.com.br;;;;;;;;;;;;;;
ODONTOSTO;;;;;;;;;;;;;X;;;;;comercialodontosto@uol.com.br;;;;;;;;;;;;;;
OI PAPELARIA;;;X;;;;;;;;;;;X;;;;evellyn.oipapelaria@gmail.com;;;;;;;;;;;;;;
OLIVERTEC;;;;;;;;;;;;X;;;;;;vendas2@olivertechospitalar.com.br;;;;;;;;;;;;;;
OLTEC - escovas;;X;;;;;;;;;;;;;;;;vendas@oltecmedical.com.br;;;;;;;;;;;;;;
OMNI;;;;;;;;;;X;X;X;;X;;X;X;licitacao@omnidf.com.br;;;;;;;;;;;;;;
OMNI - ALAOR;;;;;;;;;;X;X;X;;X;;X;X;alaorgomesneto@gmail.com;;;;;;;;;;;;;;
OREGON;;;;;;;;;;;X;X;;;;;;licitacao2@oregonfarmaceutica.com.br;;;;;;;;;;;;;;
ORION;;;;;;;;X;;X;;X;;;;;;comercial@orionhc.com.br;;;;;;;;;;;;;;
ORION - Livia;;;;;;;;X;X;X;X;X;;;;;;liviadg82@gmail.com;;;;;;;;;;;;;;
ORTOP;;;;;;;;X;;;;;;;;;;vendasortop4@ortop.com.br;;;;;;;;;;;;;;
ORTOP - 2;;;;;;;;X;;;;;;;;;;vendasortop2@ortop.com.br;;;;;;;;;;;;;;
ORTOP - ROGERIO;;;;;;;;X;;;;;;;;;;rogerioadm@ortop.com.br;;;;;;;;;;;;;;
OXYMASTER;;;;X;;;X;;;X;X;X;;;;;;oxymasterdf@gmail.com;;;;;;;;;;;;;;
PAPELARIA FARAGO;;;;;;;;;;;;;;X;;;;anilson.ramos2@gmail.com;;;;;;;;;;;;;;
PAPELARIA L√çDER;;;;;;;;;;;;;;X;;;;liderpapelaria@gmail.com;;;;;;;;;;;;;;
PCL;;;;;;;;;;;;;;X;;X;;vendas.pcltecnologia@gmail.com;;;;;;;;;;;;;;
PEDAGOGICA;;;;X;;;;;;;;;;;;;;pedagogica.com@gmail.com;;;;;;;;;;;;;;
PEDR√O DEDETIZA«√O;;;;;;;;;;;;;;;;;X;pedraodedetizaÁ„o@gmail.com;;;;;;;;;;;;;;
PERFIL HOSPITALAR;X;;X;X;;;;X;X;X;X;X;X;X;;X;;silvanarochalima@hotmail.com;;;;;;;;;;;;;;
PHARMAC - CAROLINA;;;;;;;;;;;X;;;;;;;carolina.pharmac@gmail.com;;;;;;;;;;;;;;
PHARMAC - KELVIA;;;;;;;;;;;X;;;;;;;kelvia.mansur@hotmail.com;;;;;;;;;;;;;;
PHARMATEX;;;;X;;;;X;;;;X;X;;;;;josemar@pharmatex.com.br;;;;;;;;;;;;;;
PHARMATEX 2;;;;X;;;;X;;;;X;X;;;;;comercial@pharmatex.com.br;;;;;;;;;;;;;;
PHARMATEX 3;;;;X;;;;X;;;;X;X;;;;;comercial3@pharmatex.com.br;;;;;;;;;;;;;;
PHARMATEX 4;;;;X;;;;X;;;;X;X;;;;;vendas4@pharmatex.com.br;;;;;;;;;;;;;;
PHARM…DICE;;;;;;;;;;;X;;;;;;;licitacoes@pharmedice.com.br;;;;;;;;;;;;;;
PHARM…DICE - Rodrigo;;;;;;;;;;;X;;;;;;;atendimento7@pharmedice.com.br;;;;;;;;;;;;;;
PHILIPS;;;;X;;;;;;;;;;;;;;yure.oliveira@philips.com;;;;;;;;;;;;;;
PHILIPS;;;;X;;;;;;;;;;;;;;orcamentos.cs@philips.com;;;;;;;;;;;;;;
PHITOS;;;;;;;;;X;;;X;;;;;;vendas@phitosdobrasil.com.br;;;;;;;;;;;;;;
PHITOS 2;;;;;;;;;X;;;X;;;;;;financeiro@phitosdobrasil.com.br;;;;;;;;;;;;;;
PLANT√O MEDICAL;;;;;;;;;;;;X;;;;;;comercial@plantaomedical.med.br;;;;;;;;;;;;;;
PLAST LABOR - Claudia;;;;;;;;;X;;;;;;;;;claudia.nunes@plastlabor.com.br;;;;;;;;;;;;;;
PLAST LABOR - Robson;;;;;;;;;X;;;;;;;;;robson.araujo@plastlabor.com.br;;;;;;;;;;;;;;
PMH;;;;;;;;;X;;;X;;;;;;cotacao@pmh.com.br;;;;;;;;;;;;;;
PMH - ANNA;;;;;;;;;X;;;X;;;;;;anna.matos@pmh.com.br;;;;;;;;;;;;;;
PMH - CLAUDIA;;;;;;;;;X;;;X;;;;;;claudia.souza@pmh.com.br;;;;;;;;;;;;;;
PMH - FRANCISCO;;;;;;;;;X;;;X;;;;;;francisco.reis@pmh.com.br;;;;;;;;;;;;;;
PMH - LEDA;;;;;;;;;X;;;X;;;;;;leda.vidal@pmh.com.br;;;;;;;;;;;;;;
PMH - MONICA;;x;;;;;;;;;;;;;;;;monica.magalhaes@pmh.com.br;email eh rejeitado;;;;;;;;;;;;;
PMH - TEUNISIO;;;;;;;;;X;;;X;;;;;;teunisio.silva@pmh.com.br;;;;;;;;;;;;;;
POINT SUTURE;;;;;;;;;;;;X;;;;;;licitadoc@pointsuture.com.br;;;;;;;;;;;;;;
POINTER;;;;X;;;;;;;;X;;;;;;pointerhospitalar@gmail.com;;;;;;;;;;;;;;
POLARFIX;;;;;;;;;;;;X;;;;;;faturamentolicitacao@polarfix.com.br;;;;;;;;;;;;;;
POLARFIX 2;;;;;;;;;;;;X;;;;;;editais@polarfix.com.br;;;;;;;;;;;;;;
POLARFIX 3;;;;;;;;;;;;X;;;;;;pregao2@polarfix.com.br;;;;;;;;;;;;;;
PRADO SERVI«OS TECNOLOGIA;;;X;X;;;;;;;;;;;;;;pradoservicotec@gmail.com;;;;;;;;;;;;;;
Premier Marcos Buritizal;;;;;;;;X;X;X;X;X;X;X;X;;;premiervendas01@hotmail.com;;;;;;;;;;;;;;
PREMIUM;;;;;;;;;X;;X;X;X;;;;;licitacao@premiumhosp.com.br;;;;;;;;;;;;;;
Prime Hospitalar;;;;;;;;X;;X;;X;X;;;;;compras.primedistribuidora@hotmail.com;;;;;;;;;;;;;;
PRIME INSTRUMENTOS;;;;;;;;X;;;;;;;;;;vendas1@primeinstrumentos.com.br;;;;;;;;;;;;;;
PRIMEIRA LINHA;;;X;;;;;;;;;;;;;;;vendas@1linha.com.br;;;;;;;;;;;;;;
PRIMEIRA LINHA;;;X;;;;;;;;;;;;;;;juliopuccinelli@1linha.com.br;;;;;;;;;;;;;;
PRIMEIRA LINHA - ANSELMO;;;X;;;;;;;;;;;;;;;anselmodepaula@1linha.com.br;;;;;;;;;;;;;;
PRINT MASTER;;;;;;;;;;;;X;;X;;;;printmaster.adm@gmail.com;;;;;;;;;;;;;;
PR” SA⁄DE;;;;;;;;;X;;X;X;;;;;;vendasprosaude1@gmail.com;;;;;;;;;;;;;;
PR” SA⁄DE - JAIRO;;;;;;;;;X;;X;X;;;;;;jairo.santos@prosaudedistribuidora.com.br;;;;;;;;;;;;;;
PROAGUA FILTROS;;;;X;;;;;;;;;;;;;;info@proaguafiltros.com.br;;;;;;;;;;;;;;
PRODOCTORASSISTENCIA;;;;X;;;;;;;;;;;;;;prodoctorassistencia@gmail.com;;;;;;;;;;;;;;
PROMEDH;;;;X;;;;;;;;;;;;;;sandra@promedh.com.br;;;;;;;;;;;;;;
PROMEDICAL - JULIANA;;;;X;;;;X;;;;X;;;;;;juliana@promedical.com.br;;;;;;;;;;;;;;
PROMEDICAL - ROSANA;;;;X;;;;X;;;;X;;;;;;rosana@promedical.com.br;;;;;;;;;;;;;;
PROSEK ;;X;;X;;;;;;;;;;;;;;falecom@prosek.com.br;;;;;;;;;;;;;;
PROSYSTEM;;X;;;;;;;;;;;;;;;;pauloalcantara@prosystemdf.com.br;;;;;;;;;;;;;;
PROSYSTEM 2;;X;;;;;;;;;;;;;;;;paulaoayres@prosystemdf.com.br;;;;;;;;;;;;;;
PROT-CAP;;;X;;;;;;;;;;;;;;;vendas@protcap.com.br;;;;;;;;;;;;;;
PROT-CAP - Edilaine;;;X;;;;;;;;;;;;;;;edilaine.soares@protcap.com.br;;;;;;;;;;;;;;
PROTEC - CARINA;;;;;;;;X;;;;X;;;;;;carina@protec.com.br;;;;;;;;;;;;;;
PROTEC - CRISLEIDE;;X;;;;;;;;;;;;;;;;crisleidesilva@protec.com.br;;;;;;;;;;;;;;
PROTEC - PRISCILA;;;;;;;;X;;;;;;;;;;priscilachagas@protec.com.br;;;;;;;;;;;;;;
PUBLICART;;;;;;;;;;;;;;X;;;;contato.publicart@gmail.com;;;;;;;;;;;;;;
PUBLICART 2;;;;;;;;;;;;;;X;;;;publicart.df@hotmail.com;;;;;;;;;;;;;;
QEEL QUIMICA;;;;;;;;;X;;;;;;;;;vendas2@qeelquimica.com.br;;;;;;;;;;;;;;
QMEDONLINE;;;;;;;;;;;;;;;;;;qmed@qmedonline.com.br;;;;;;;;;;;;;;
QMEDONLINE;;;;;;;;;;;;;;;;;;valdivino@qmedonline.com.br;;;;;;;;;;;;;;
Qualimed;;;;;;;;X;;;;;;;;;;vendas@qualimed.bio.br;;;;;;;;;;;;;;
RADION;;;;X;;;;;;;;;;;;;;radion@radion.com.br;;;;;;;;;;;;;;
RAPHAELA;;;;;;;;;;;;X;;;;;;raphaelarodrigues304@gmail.com;;;;;;;;;;;;;;
RAVA CAMILA;;X;;;;;;;;;;;;;;;;camila.samara@ravaembalagens.com.br;;;;;;;;;;;;;;
RAVA Embalagens;;;;;;;;;;;;X;;;;;;licitacao@ravaembalagens.com.br;;;;;;;;;;;;;;
RC REPRESENTA«’ES - CLAUDIO;;;;;;;;X;X;X;X;X;X;X;X;;;claudio@rcvendas.com.br;;;;;;;;;;;;;;
RC REPRESENTA«’ES - LUIZA;;;;;;;;X;X;X;X;X;X;X;X;;;luiza@rcvendas.com.br;;;;;;;;;;;;;;
RC REPRESENTA«’ES - RODRIGO;;;;;;;;X;X;X;X;X;X;X;X;;;rodrigo@rcvendas.com.br;;;;;;;;;;;;;;
REALMED;;;;X;;;;;;;;;;;;;;vendashospitalar21@gmail.com;;;;;;;;;;;;;;
REMORA;;;;;;;;;;;X;X;X;;;;;vendasremora@hotmail.com;;;;;;;;;;;;;;
REMORA - JONATAS;;;;;;;;;;;;X;;;;;;jonatasvieiraassis@gmail.com;;;;;;;;;;;;;;
RENOVARE WD;;;;;;;;;;X;;;;;;;;thais@renovarewd.com.br;;;;;;;;;;;;;;
REOBOTE;;;;;;;;;;X;X;X;X;;;;;marcelovendas05@outlook.com;;;;;;;;;;;;;;
RGN - CONTATO;;;X;;;;;;;;;;;;;;;contato@contatopro.com.br;;;;;;;;;;;;;;
RHOSS;;;;;;;;X;;;;;;;;;;rhoss@rhoss.com.br;;;;;;;;;;;;;;
RHOSS 2;;;;;;;;X;;;;;;;;;;vendas@rhoss.com.br;;;;;;;;;;;;;;
RHOSSE;;;;;;;;X;;;;;;;;;;marcelo@rhosse.com.br;;;;;;;;;;;;;;
RIACHO TINTAS;;;X;;;;;;;;;;;;;;;VALPARAISO@RIACHOTINTAS.COM.BR;;;;;;;;;;;;;;
RIACHO TINTAS;;;X;;;;;;;;;;;;;;;vendasriachotintas@gmail.com;;;;;;;;;;;;;;
RIMTEC;;;;X;;;;;;;;;;;;;;rimtec@hotmail.com;;;;;;;;;;;;;;
RIMTEC;;;;X;;;;;;;;;;;;;;sac@rimtec.com.br;;;;;;;;;;;;;;
RIOCLARENSE - ADRIANA;;;;;;;;;;;X;X;;;;;;adriana.perinotto@rioclarense.com.br;;;;;;;;;;;;;;
RIOCLARENSE - ALAN;;;;;;;;;X;;X;X;;;;;;alan.porcel@rioclarense.com.br;;;;;;;;;;;;;;
RIOCLARENSE - CLAUDIO;;;;;;;;;;;X;X;;;;;;claudio@rcvendas.com.br;;;;;;;;;;;;;;
RIOCLARENSE - MAYARA;;;;;;;;;X;;X;X;;;;;;mayara.santos@rioclarense.com.br;;;;;;;;;;;;;;
RIOCLARENSE - RAFAELA;;;;;;;;;X;;X;X;;;;;;rafaela.arruda@rioclarense.com.br;;;;;;;;;;;;;;
RIOQUIMICA - ALFENO;;;;;;;;;X;;;X;X;;;;;alfeno@hotmail.com;;;;;;;;;;;;;;
RIOQUIMICA - JOYCE;;;;;;;;;X;;;X;X;;;;;joycedipaula@yahoo.com.br;;;;;;;;;;;;;;
RKM ASSIST NCIA;;;;X;;;;;;;;;;;;;;rkmassistencia@gmail.com;;;;;;;;;;;;;;
RKM INSTALA«√O;;;;X;;;;;;;;;;;;;;rkminstalacao@terra.com.br;;;;;;;;;;;;;;
RKP;;;;X;;;;;;;;;;;;;;samira@rkpengenharia.com.br;;;;;;;;;;;;;;
RQ TECNOLOGIA;X;;;;;;;;;;;;;X;;X;;vendas14@rqtecnologia.com.br;;;;;;;;;;;;;;
RRX;;;;;;;;;;;;;;;X;;;vendas6@rxhospitalar.com.br;;;;;;;;;;;;;;
RRX;;;;;;;;;;;;;;;X;;;opme@rxhospitalar.com.br;;;;;;;;;;;;;;
RT COMERCIO;;;;;;;;;;;;X;;X;;;;vendasrt3@gmail.com;;;;;;;;;;;;;;
RV GR√ÅFICA;X;;;;;;;;;;;;;X;;X;;rvgraficabsb@gmail.com;;;;;;;;;;;;;;
RV GRAFICA - SIMONE;;;;;;;;;;;;;;X;;X;;001simone@gmail.com;;;;;;;;;;;;;;
SABIE;;;;;;;;;;X;;;;;;;;vendas1@sabie.com.br;;;;;;;;;;;;;;
SABIE 3;;;;;;;;;;X;;;;;;;;vendas3@sabie.com.br;;;;;;;;;;;;;;
SANTE;;;;;;;;X;X;;X;X;X;;X;;;carolina.menezes@gruposante.com.br;;;;;;;;;;;;;;
SANTE 2;;;;;;;;X;X;;X;X;X;;X;;;licitacao@gruposante.com.br;;;;;;;;;;;;;;
SANTE 3;;;;;;;;X;X;;X;X;X;;X;;;narcelio@santehospitalar.com.br;;;;;;;;;;;;;;
S„o Bernardo;;;;X;;;;;;;;;;;;;;daniel@saobernardodf.com.br;;;;;;;;;;;;;;
S√O BERNARDO;;;;X;;;;;;;;;;;;;;claudiney@saobernardodf.com.br;;;;;;;;;;;;;;
S√O BERNARDO 2;;;;X;;;;;;;;;;;;;;contato@saobernardodf.com.br;;;;;;;;;;;;;;
SATELITE DEDETIZADORA;;;;;;;;;;;;;;;;;X;satelitededetizadora@hotmail.com;;;;;;;;;;;;;;
SA⁄DE COM…RCIO;;;;;;;;;;;;X;;;X;;;saudedf@uol.com.br;;;;;;;;;;;;;;
SEGLINE;;X;;;;;;;;;;;;;;;;contato@seglinetecnologia.com.br;;;;;;;;;;;;;;
SEMED;;;X;X;;;;;;;;;;;;;;semedequipamentos@gmail.com;;;;;;;;;;;;;;
SEMPRE;;;;;;;;;;;X;X;;;;;;semprehospitalarmarques@outlook.com;;;;;;;;;;;;;;
SEMPRE;;;;;;;;;;;X;X;;;;;;semprehospitalar.farmaceutica@gmail.com;;;;;;;;;;;;;;
SERCOMTEL;;;;X;;;;;;;;;;;;;;j.s@sercomtel.com.br;;;;;;;;;;;;;;
SERCOMTEL;;;;X;;;;;;;;;;;;;;sirleimaia@sercomtel.com.br;;;;;;;;;;;;;;
SERVICOS;;;;X;;;;;;;;;;;;;;armandopombo@gmail.com;;;;;;;;;;;;;;
SERVICOS;;;;X;;;;;;;;;;;;;;assistenciamanutec@hotmail.com;;;;;;;;;;;;;;
SERVICOS;;X;;;;;;;;;;;;;;;;assistenciamanutec@ig.com.br;;;;;;;;;;;;;;
SERVICOS;;;;X;;;;;;;;;;;;;;brunobarretobh@hotmail.com;;;;;;;;;;;;;;
SERVICOS;;;;X;;;;;;;;;;;;;;gsm.g4@hotmail.com;;;;;;;;;;;;;;
SERVICOS;;;;X;;;;;;;;;;;;;;jodef1@yahoo.com.br;;;;;;;;;;;;;;
SERVICOS;;;;X;;;;;;;;;;;;;;joseadelson@uol.com.br;;;;;;;;;;;;;;
SERVICOS;;;;X;;;;;;;;;;;;;;ronaldosamya@gmail.com;;;;;;;;;;;;;;
SERVICOS;;X;;;;;;;;;;;;;;;;ronibarrada@ig.com.br;;;;;;;;;;;;;;
SERVICOS;;X;;;;;;;;;;;;;;;;s.hamilton@ig.com.br;;;;;;;;;;;;;;
SERVICOS;;;;X;;;;;;;;;;;;;;luizpereira63@gmail.com;;;;;;;;;;;;;;
SERVICOS;;;;X;;;;;;;;;;;;;;jdlumafer@gmail.com;;;;;;;;;;;;;;
SG DISTRIBUIDORA;;;;;;;;X;;;;X;;;;;;sg@sgdistribuidorahospitalar.com.br;;;;;;;;;;;;;;
SG DISTRIBUIDORA - SIDNEY;;;;;;;;;X;;X;X;X;X;;;;sidney@sgdistribuidorahospitalar.com.br;;;;;;;;;;;;;;
SHALON;;;;;X;;;;;;;;;;;;;licitacao@suturas.com.br;;;;;;;;;;;;;;
SHALON - LEILA;;;;;X;;;;;;;;;;;;;limaleila@hotmail.com;;;;;;;;;;;;;;
SHALON - RT;;;;;X;;;;;;;;;;;;;rt1@suturas.com.br;;;;;;;;;;;;;;
SHOPPING DO ALUNO - RISK;;;;;;;;;;;;;;X;;;;vendas@papelariarisk.com.br;;;;;;;;;;;;;;
SHOPPING DO ALUNO - RISK;;;;;;;;;;;;;;X;;;;escritorio@papelariarisk.com.br;;;;;;;;;;;;;;
SIEMENS;;;;X;;;;;;;;;;;;;;licitacoes.br@siemens-healthineers.com;;;;;;;;;;;;;;
SISPACK;;;;X;;;;X;X;X;;X;;;;;;vendas.suporte@sispack.com.br;;;;;;;;;;;;;;
SITEC MEDICAL;;;;X;;;;;;;;;;;;;;sitecmedical@hotmail.com;;;;;;;;;;;;;;
S” QUIçMICA;;x;;;;;;;;;;;;;;;;beto@gruposoquimica.com.br;;;;;;;;;;;;;;
S” QUIçMICA - Adriano;;;;;;;;;;;X;X;;;;;;adriano.alfaiate@gruposoquimica.com.br;;;;;;;;;;;;;;
SOL MILLENNIUM;;;;;;;;;;;;X;;;;;;contato@solmillennium.com;;;;;;;;;;;;;;
SOLU«√O EPI;;;X;;;;;;;;;;;;;;;solucao.solucaoepi@gmail.com;;;;;;;;;;;;;;
SR - SALDANHA E RODRIGUES;;;;;;;;;;;;X;;;;;;representacoesdf@yahoo.com.br;;;;;;;;;;;;;;
STARTEC CIENTIFICA;;;X;X;;;;;;;;;;;;;;sac@startec.com.br;;;;;;;;;;;;;;
STJ;;;;X;;;;;;;;;;;;;;gilsonsantostj@hotmail.com;;;;;;;;;;;;;;
STRATTNER;;;;X;;;;;;;;;;;;;;m.socorro@strattner.com.br;;;;;;;;;;;;;;
STRATTNER;;;;X;;;;X;;;;X;;;;;;lorena.quariguasy@strattner.com.br;;;;;;;;;;;;;;
STRATTNER;;;;X;;;;X;;;;X;;;;;;natalia.amaral@strattner.com.br;;;;;;;;;;;;;;
SULMEDIC;;;;;;;;;;;X;;;;;;;comercial2@sulmedic.com;;;;;;;;;;;;;;
SUPERMEDICA - CAMILA;;;;;X;;;X;X;;X;X;X;;X;;;vendas09@supermedica.com.br;;;;;;;;;;;;;;
SUPERMEDICA - LARISSA;;;;;;;;X;X;;X;X;;;X;;;vendas03@supermedica.com.br;;;;;;;;;;;;;;
SUPERNTENDENDICA;;X;;;;;;;;;;;;;;;;srss.gab@gmail.com;;;;;;;;;;;;;;
SUTUPAR;;;;;;;;;;;X;X;;;;;;jeancarlonetto@gmail.com;;;;;;;;;;;;;;
SYNTHES - EDUARDO;;x;;;;;;;;;;;;;;;;quinelato.eduardo@synthes.com;;;;;;;;;;;;;;
SYNTHES - LETICIA;;;;;;;;X;;;;;;;;;;almeida.leticia@synthes.com;;;;;;;;;;;;;;
SYNTHES - SAC;;;;;;;;X;;;;;;;;;;sac.synthes@synthes.com;;;;;;;;;;;;;;
SYNTHES - SARAH;;;;;;;;X;;;;;;;;;;basso.sarah@synthes.com;;;;;;;;;;;;;;
TAMI PORTOFRIO;;;X;;;;;;;;;;;;;;;tami.porfirio@dimensional.com.br;;;;;;;;;;;;;;
TCA FARMA;;;;;;;;;;;X;X;;;;;;tca.cotacao@hotmail.com;;;;;;;;;;;;;;
