Entradas; 2.786.847,51 ;Empenhado;R$ 2.786.847,50;;Saldo;;R$ 0,00;;;;;;;CONTROLE - GAMA;;;;;;;;;;;;;;;;;
Projeto Básico;Origem;Recebimento;Nº de processo SEI;Responsável;Cotação;Item;CÓDIGO;QTD COD;VG;NC;Descrição resumida dos itens adjudicados à empresa;Unid;Qtd. S;Empresa;Qtd. A; V. unitário ;V. Total;Fechamento;Nº DANFE;Data DANFE;Data de atesto;Data SEI;Nº TED;Data TED;Bimestre;Observações;Status da cotação;Início do processo;Duração Total (Uteis);Duração Até Hoje (Uteis);Desc Reduzida
147/2020;NUAL;30/06/2020;00060-00281441/2020-31;Bruno;459/2020;1;34084;3;X;X;"VERIFICAR CÓDIGO 10823 (MESMA DESCRIÇÃO COM ALTERAÇÃO DE ORDEM DE ELEMENTOS)AVENTAL DE PROCEDIMENTO NÃO ESTÉRIL,  Aplicação: biosegurança, EPI - barreira protetora aos profissionais de saúde nos procedimentos com exposição de fluídos e/ou contaminação por contato; Características Adicionais: com comprimento abaixo do joelho (com no mínimo 1,20 m), manga longa e punho sonfonado em algodão, confeccionado em polietileno trilaminado SMS com camadas de proteção resistente a penetração de fluídos (hidrorrepelente), não inflamável, faixa presa na cintura para fechamento nas costas, decote redondo próximo ao pescoço com tiras para amarrar, conferindo total proteção a roupa individual, que não cause nenhuma irritação ao usuário, fácil uso e que não proporcione liberação de partículas; Tamanho: ÚNICO; Forma de Apresentação: Unidade. Apresentar CA - Registro no Ministério do Trabalho- PORTARIA Nº 452, DE 20 DE NOVEMBRO DE 2014 e ANVISA. ";UN;10.000;WINNER (3979);4.320; R$ 7,5000 ; R$32.400,00 ;08/07/2020;23056;20/07/2020;20/07/2020;20/07/2020;54678;03/08/2020;4;CODIGO DUPLICADO??;;;;;AVENTAL DE PROCEDIMENTO NÃO ESTÉRIL
286/2020;NFH;30/06/2020;00060-00281363/2020-74;Jefferson;460/2020;1;31158;1;X;X;Equipo para uso exclusivo em bombas de infusão da marca SAMTRONIC ST1000 SET, com comprimento mínimo de 240cm, câmara gotejadora flexível com filtro de retenção de partículas de 15 microns, entrada de ar lateral com filtro bacteriológico de 0,2 microns e tampa. Segmento em silicone, injetor lateral em Y com membrana autocicatrizante, pinça rolete, conector luer lock com tampa oclusora com filtro. Fabricado com material atóxico, embalagem individual em papel grau cirúrgico. Estéril, invólucro resistente ao manuseio, lacre capaz de manter sua integridade e esterilidade. Apresentação: embalagem individual. ;UN;250;MICROMEDICAL (384);250; R$ 25,5000 ; R$6.375,00 ;07/07/2020;13078;08/07/2020;08/07/2020;14/07/2020;3296;03/08/2020;4;;;;;;EQUIPO PARA BOMBA DE INFUSÃO
285/2020;NFH;30/06/2020;00060-00281294/2020-07;Bruno;461/2020;2;35774;2;X;X;"AVENTAL/CAPOTE CIRÚRGICO ESTÉRIL, DESCARTÁVEL, TAMANHO ´M´. Avental cirúrgico estéril, descartável, tamanho médio (comprimento mínimo 110cm e largura mínima 140cm), fabricado em SMS, composto de não tecido 100% polipropileno, permitindo ventilação adequada durante o uso, garantindo maciez e resistência; hidro-repelente, resistente à penetração de líquidos, manga longa com punhos elásticos confeccionados em malha que mantenham as mangas estabilizadas, gramatura igual ou maior que 50g/m2, ajuste no pescoço para fechamento seguro. Junção ultrassônica/térmica em áreas críticas (mangas e junção das tiras de amarração). Tiras interna e externa com fechamento cruzados nas costas, cartão para transferência asséptica. Dobrado em forma de livro para abertura e colocação de forma asséptica, acompanhado de toalha para secagem das mãos de alta absorção. Embalado individualmente em dupla embalagem - interna de SMS e externa de papel grau cirúrgico. O produto deverá obedecer ás normas brasileiras vigentes (da NBR 16064 da ABNT).  ";UN;400;NR GOIÁS (702924);250; R$ 24,5000 ; R$6.125,00 ;15/07/2020;20222;02/09/2020;08/09/2020;11/09/2020;91677;30/09/2020;5;;;;;;AVENTAL CAPOTE CIRURGICO
285/2020;NFH;30/06/2020;00060-00281294/2020-07;Bruno;461/2020;2;35774;2;X;X;"AVENTAL/CAPOTE CIRÚRGICO ESTÉRIL, DESCARTÁVEL, TAMANHO ´M´. Avental cirúrgico estéril, descartável, tamanho médio (comprimento mínimo 110cm e largura mínima 140cm), fabricado em SMS, composto de não tecido 100% polipropileno, permitindo ventilação adequada durante o uso, garantindo maciez e resistência; hidro-repelente, resistente à penetração de líquidos, manga longa com punhos elásticos confeccionados em malha que mantenham as mangas estabilizadas, gramatura igual ou maior que 50g/m2, ajuste no pescoço para fechamento seguro. Junção ultrassônica/térmica em áreas críticas (mangas e junção das tiras de amarração). Tiras interna e externa com fechamento cruzados nas costas, cartão para transferência asséptica. Dobrado em forma de livro para abertura e colocação de forma asséptica, acompanhado de toalha para secagem das mãos de alta absorção. Embalado individualmente em dupla embalagem - interna de SMS e externa de papel grau cirúrgico. O produto deverá obedecer ás normas brasileiras vigentes (da NBR 16064 da ABNT).  ";UN;400;NR GOIÁS (702924);50; R$ 24,5000 ; R$1.225,00 ;15/07/2020;20045;31/08/2020;01/09/2020;03/09/2020;91693;30/09/2020;5;;;;;;AVENTAL CAPOTE CIRURGICO
285/2020;NFH;30/06/2020;00060-00281294/2020-07;Bruno;461/2020;1;35938;2;X;X;"AVENTAL/CAPOTE CIRÚRGICO ESTÉRIL, TAMANHO G. Avental cirúrgico estéril tamanho grande (comprimento mínimo 120cm e largura mínima 150cm), fabricado de SMS, composto de não tecido 100% polipropileno, permitindo ventilação adequada durante o uso, garantindo maciez e resistência; hidrorrepelente, resistente à penetração de líquidos, manga longa com punhos elásticos confeccionados em malha que mantenham as mangas estabilizadas, gramatura igual ou maior que 50g/m2, ajuste no pescoço para fechamento seguro. Junção ultrassônica/térmica em áreas críticas (mangas e junção das tiras de amarração). Tiras internas e externas para fechamento cruzado nas costas, cartão para transferência asseptica. Dobrado em forma de livro para abertura e colocação de forma asséptica, acompanhado de toalha para secagem das mãos de alta absorção. Embalado individualmente em dupla embalagem - interna de SMS e externa de papel grau cirúrgico. O produto deverá obedecer às normas brasileiras vigentes (NBR 16064 da ABNT).";UN;1.600;NR GOIÁS (702924);625; R$ 24,5000 ; R$15.312,50 ;15/07/2020;20045;31/08/2020;01/09/2020;03/09/2020;91693;30/09/2020;5;;;;;;AVENTAL CAPOTE CIRURGICO
288/2020;NFH;30/06/2020;00060-00281476/2020-70;Oberdan;462/2020;1;95323;4;X;X;FORMOL COMERCIAL 37/40% 1000 ML - FORMALDEÍDO (FORMOL), ASPECTO FÍSICO LÍQUIDO INCOLOR, LÍMPIDO, FÓRMULA QUÍMICA H2CO, PESO MOLECULAR 30,03, GRAU DE PUREZA CONCENTRAÇÃO ENTRE 37 E 40, NÚMERO DE REFERÊNCIA QUÍMICA CAS 50-00-0;FR;100;SUPERMÉDICA (702730);100; R$ 12,0000 ; R$1.200,00 ;03/07/2020;88302;15/07/2020;16/07/2020;17/07/2020;54156;03/08/2020;4;;;;;;FORMOL COMERCIAL 37/40% 1000 ML - FORMALDEÍDO (FORMOL)
287/2020;NFH;30/06/2020;00060-00281408/2020-19;Jefferson;463/2020;1;92445;8;X;X;SONDA DE FOLEY 2 VIAS LÁTEX Nº 14. Aplicação: para drenagem e controle da diurese e irrigação vesical. Material: Látex atóxico.  Características Adicionais: estéril, descartável, siliconizada, medindo no mínimo 40 cm, apresentando flexibilidade e maleabilidade adequado ao fim a que se destina, que não cause irritação ao paciente, apresentando espessura uniforme, isenta de manchas ou quaisquer defeitos, balão com capacidade de 05 a 15 ml e boa distensibilidade, com válvula fixa que permita perfeita adaptação em seringas. Ponta arredondada e fechada, apresentando 02 orifícios ovais situados em lados opostos, delimitados e proporcionais ao diâmetro, isentos de rebarbas e/ou saliências que possam traumatizar o paciente. Embalagem dupla, sendo a externa em papel grau cirúrgico e a interna em polietileno picotada nas extremidades, favorecendo a abertura em técnica asséptica e garantindo a integridade e esterilidade do produto. Apresentação: embalagem individual, acondicionada em caixa com 10 unidades. Unidade de Estoque: unidade (UN). Código SES: 092445. BR0279768;UN;150;CIRÚRGICA FERNANDES (3510);150; R$ 3,4850 ; R$522,75 ;07/07/2020;1233726;08/07/2020;13/07/2020;14/07/2020;53959;03/08/2020;4;;;;;;SONDA DE FOLEY 2 VIAS LÁTEX Nº 14
289/2020;NFH;30/06/2020;00060-00281602/2020-96;Bruno;464/2020;1;90039;5;X;X;MIDAZOLAM SOLUCAO INJETAVEL 5 MG/ML AMPOLA 10 ML;AMP;1.600;CRISTÁLIA (114);1.600; R$ 6,9000 ; R$11.040,00 ;08/07/2020;2681394;27/07/2020;29/07/2020;31/07/2020;63793;18/08/2020;4;;;;;;MIDAZOLAM SOLUCAO INJETAVEL 5 MG/ML AMPOLA 10 ML
282/2020;NFH;03/07/2020;00060-00278925/2020-01;Oberdan;465/2020;1;90070;4;X;X;VALPROATO DE SODIO XAROPE (EQUIVALENTE 250 MG/5 ML ACIDO VALPROICO) FRASCO 100 ML;FR;15;MAFRA (703141);15; R$ 12,0000 ; R$180,00 ;14/07/2020;353683;21/07/2020;22/07/2020;23/07/2020;53923;03/08/2020;4;;;;;;VALPROATO DE SODIO XAROPE (EQUIVALENTE 250 MG/5 ML ACIDO VALPROICO) FRASCO 100 ML
290/2020;NFH;03/07/2020;00060-00283280/2020-10;Jefferson;466/2020;1;90500;3;X;X;BISACODIL DRAGEA 5 MG ;DG;400;APOLLO (703256);400; R$ 0,1500 ; R$60,00 ;15/07/2020;13330;15/07/2020;16/07/2020;17/07/2020;53871;03/08/2020;4;;;;;;BISACODIL DRAGEA 5 MG 
291/2020;NFH;03/07/2020;00060-00283374/2020-99;Jefferson;467/2020;1;90610;11;X;X;HEPARINA SODICA SOLUÇAO INJETAVEL 5000 UI/ML FRASCO AMPOLA 5 ML;FA;300;CRISTÁLIA (114);300; R$ 21,1200 ; R$6.336,00 ;07/07/2020;2665646;13/07/2020;15/07/2020;17/07/2020;54631;03/08/2020;4;;;;;;HEPARINA SODICA SOLUÇAO INJETAVEL 5000 UI/ML FRASCO AMPOLA 5 ML
291/2020;NFH;03/07/2020;00060-00283374/2020-99;Jefferson;467/2020;1;90610;11;X;X;HEPARINA SODICA SOLUÇAO INJETAVEL 5000 UI/ML FRASCO AMPOLA 5 ML;FA;300;CRISTÁLIA (114);300; R$ 1,0000 ; R$300,00 ;07/07/2020;2665646;13/07/2020;15/07/2020;17/07/2020;91259;30/09/2020;5;pagamento a menor na NF;;;;;HEPARINA SODICA SOLUÇAO INJETAVEL 5000 UI/ML FRASCO AMPOLA 5 ML
292/2020;NFH;03/07/2020;00060-00283407/2020-09;Bruno;468/2020;1;90841;8;X;X;ATROPINA (SULFATO) SOLUÇAO OFTALMICA 1 % FRASCO 5 ML;FR;10;CITOPHARMA (701352);10; R$ 34,8500 ; R$348,50 ;15/07/2020;148747;17/07/2020;21/07/2020;21/07/2020;53942;03/08/2020;4;;;;;;ATROPINA (SULFATO) SOLUÇAO OFTALMICA 1 % FRASCO 5 ML
284/2020;NFH;06/07/2020;00060-00281236/2020-75;Clayton;469/2020;1;92407;3;X;X;"LUVA DE PROCEDIMENTO NÃO ESTÉRIL DE LÁTEX TAMANHO ""P"". Aplicação: uso em técnica não estéril como proteção do profissional. Material: látex íntegro. Tamanho: pequeno. Características Adicionais: ambidestra, lubrificada com pó bioabsorvível atóxico, que não cause danos ao organismo em condições normais de uso, devem apresentar boa resistência ao calçar, com látex íntegro,sem manchas, sem ponto de acúmulo látex e tamanho de acordo com a especificação, deve estar devidamente embalada de forma a permitir o empilhamento, transporte e armazenamento, a embalagem deve contero tamanho,o lote, a data de fabricação e de validade, conter número do C.A. Apresentação: embalagem contendo 100 (cem) unidades acondicionadas em caixa. Unidade De Estoque: unidade (UN),";UN;120.000;MEDLIVE (701879);60.000; R$ 0,4145 ; R$24.870,00 ;07/07/2020;550034;08/07/2020;14/07/2020;17/07/2020;54664;03/08/2020;4;;;;;;"LUVA DE PROCEDIMENTO NÃO ESTÉRIL DE LÁTEX TAMANHO ""P"""
149/2020;NUAL;06/07/2020;00060-00288417/2020-22;Jefferson;470/2020;1;27358;2;X;X;"ETIQUETA AUTOADESIVA, Cor: Cinza, Tamanho: 4cm x 5cm com os dizeres:
 “HRG, VISITANTE, Nome, Setor, Data” Conforme anexo.";UN;60.000;RV GRÁFICA (703134);60.000; R$ 0,0196666 ; R$1.180,00 ;07/07/2020;742;22/07/2020;23/07/2020;23/07/2020;53994;03/08/2020;4;;;;;;ETIQUETA AUTOADESIVA
151/2020;NUAL;07/07/2020;00060-00290081/2020-68;Clayton;471/2020;1;35477;3;X;X;CAIXA ORGANIZADORA,Material: poliestireno de alta densidade e/ou polipropileno, Formato: retangular, Tamanho/Capacidade: 28 LITROS, Características Adicionais: reforçada, com tampa e presilhas, empilhável, Altura: mínimo 20 cm, Largura: mínimo 38,5 cm, Comprimento: mínimo 56,5 cm, Cor: a escolher.;UN;4;*CANCELADO;;; R$-   ;25/09/2020;;;;;;;5;Falta de Recurso na época da Cotação. Não renovaram propostas quando chegou dinheiro;;;;;CAIXA ORGANIZADORA
150/2020;NUAL;07/07/2020;00060-00288584/2020-73;Jefferson;472/2020;1;31635;5;X;X;ETIQUETA AUTOADESIVA, Cor: Vermelho, Tamanho: 2cm x 1cm com os dizeres: ATENÇÃO! MEDICAMENTO DE ALTA VIGILÂNCIA.;UN;25.000;RV GRÁFICA (703134);25.000; R$ 0,0160 ; R$400,00 ;07/07/2020;737;21/07/2020;21/07/2020;21/07/2020;53948;03/08/2020;4;;;;;;ETIQUETA AUTOADESIVA
293/2020;NFH;07/07/2020;00060-00291844/2020-98;Bruno;473/2020;1;90230;2;X;X;SUXAMETONIO (CLORETO) PO PARA SOLUCAO INJETAVEL 100 MG FRASCO-AMPOLA;FA;100;*CANCELADO;;; R$-   ;15/07/2020;;;;;;;4;DESERTO;;;;;SUXAMETONIO (CLORETO) PO PARA SOLUCAO INJETAVEL 100 MG FRASCO-AMPOLA
294/2020;NFH;07/07/2020;00060-00291887/2020-73;Clayton;474/2020;1;90295;4;X;X;METILDOPA COMPRIMIDO REVESTIDO 250 MG;CP;350;*CANCELADO;;; R$-   ;10/07/2020;;;;;;;4;Deserto. Quantidade minima da caixa é de 490 comprimidos, pediram 350.;;;;;METILDOPA COMPRIMIDO REVESTIDO 250 MG
295/2020;NFH;07/07/2020;00060-00292065/2020-18;Jefferson;475/2020;1;92133;3;X;X;CATETER DUPLO LUMEN PARA HEMODIALISE, USO ADULTO. Aplicação: Hemodialise. Material: poliuretano tipo 2, termosensível, radiopaco, centimentrado, estéril, descartável. Tamanho: Cateter com duplo lumen com 12 a 14FR, comprimento 20CM, com introdutor, dilatador de vaso, fio guia metálico demarcado com ponta em 'J', seringa. Características adicionais: agulha introdutora com válvula antirefluxo, clamp duplo fixação, set punção, ponta atraumatica.;UN;40;ARTWARE (702395);30; R$ 110,0000 ; R$3.300,00 ;07/07/2020;1690;15/07/2020;15/07/2020;17/07/2020;54280;03/08/2020;4;;;;;;CATETER DUPLO LUMEN PARA HEMODIALISE
296/2020;NFH;07/07/2020;00060-00292092/2020-82;Bruno;476/2020;1;6156;1;X;X;FRAGMENTADOR/EXTRATOR PERCUTA NEO MED. 1.8X2.0 C/ MECANISMO;UN;3;ECOMED (701313);3; R$ 189,0000 ; R$567,00 ;15/07/2020;155385;23/07/2020;28/07/2020;31/07/2020;63333;18/08/2020;4;;;;;;FRAGMENTADOR/EXTRATOR PERCUTA NEO MED
035/2020;NECFM;08/07/2020;00060-00293914/2020-42;Oberdan;477/2020;2;28476;2;X;X;CIRCUITO ADULTO DE VENTILAÇÃO MECÂNICA Aplicação/finalidade: VENTILAÇÃO MECÂNICA INVASIVA Material/composição: 05 TUBOS CORRUGADOS DE SILICONE + 02 DRENOS (COLETORES DE ÁGUA DE POLISSULFONA) + 01 CONECTOR ?Y? DE POLISSULFONA, SEM FUROS + 01 CONEXÃO ?COTOVELO? EM 90° DE POLISSULFONA + 01 CONEXÃO RETA DE POLISSULFONA Tamanho/capacidade:TRAQUÉIAS: 04 tubos corrugados de silicone de 750mm de comprimento e 19 mm de diâmetro interno. 01 tubo corrugado de silicone de 450 mm de comprimento por 19 mm de diâmetro interno para interligação do ventilador ao umidificador. CONECTORES: ? Conexão reta de 22MM (diâmetro externo e 19MM diâmetro interno) x 22MM (diâmetro externo e 19MM diâmetro interno) ? Conexão cotovelo 90° 22F X 22MM X 15F Forma de apresentação:KIT COM TODAS AS PEÇAS;UN;35;*CANCELADO;;; R$-   ;;;;;;;;5;;;;;;CIRCUITO ADULTO VENTILAÇÃO
035/2020;NECFM;08/07/2020;00060-00293914/2020-42;Oberdan;477/2020;1;75217;1;X;X;DIAFRAGMA REF. 2704 1;UN;22;MEDIC VITTAL (703910);22; R$ 60,0000 ; R$1.320,00 ;23/09/2020;84;09/11/2020;10/11/2020;12/11/2020;31333;02/12/2020;6;;;;;;DIAFRAGMA
034/2020;NECFM;08/07/2020;00060-00272150/2020-51;Oberdan;478/2020;1;24326;1;X;X;FILTRO EXPIRATÓRIO NEO DX 800 USO ÚNICO P/ VENTILADOR PULMONAR(Mallinckrodt - PURITAN-BENNETT 840TM0) Filtro expiração neonatal viral/ coletor de água, eficiência de filtração de 99,99%, resistência do fluxo 0.1 - 3.0 cm de H20 a 30 l/m, volume de 142ml.;UN;16;BRAKKO (1365);16; R$ 135,0000 ; R$2.160,00 ;29/07/2020;49557;03/08/2020;04/08/2020;12/08/2020;63517;18/08/2020;4;;;;;;FILTRO EXPIRATORIO NEO
034/2020;NECFM;08/07/2020;00060-00272150/2020-51;Oberdan;478/2020;2;39267;2;X;X;FILTRO P/RESPIRADOR REF.626 1;UN;16;BRAKKO (1365);16; R$ 21,6000 ; R$345,60 ;29/07/2020;49557;03/08/2020;04/08/2020;12/08/2020;63517;18/08/2020;4;;;;;;FILTRO PARA RESPIRADOR
152/2020;NUAL;09/07/2020;00060-00294157/2020-24;Jefferson;479/2020;1;200724;4;X;X;MÁSCARA DE OXIGÊNIO NÃO REINALANTE: em plástico siliconizado no tamanho médio.;UM;400;ASTEM (3864);50; R$ 23,5500 ; R$1.177,50 ;07/07/2020;5728;22/07/2020;23/07/2020;23/07/2020;53973;03/08/2020;4;;;;;;MASCARA DE OXIGENIO
152/2020;NUAL;09/07/2020;00060-00294157/2020-24;Jefferson;479/2020;1;200724;4;X;X;MÁSCARA DE OXIGÊNIO NÃO REINALANTE: em plástico siliconizado no tamanho médio.;UM;400;ASTEM (3864);50; R$ 23,5500 ; R$1.177,50 ;07/07/2020;6037;28/09/2020;29/09/2020;01/10/2020;18111;11/11/2020;6;;;;;;MASCARA DE OXIGENIO
298/2020;NFH;09/07/2020;00060-00296055/2020-43;Clayton;480/2020;1;7643;4;X;X;ISOLADOR DE PRESSAO DO MANOMETRO P/MAQUINA DE HEMODIALISE;UN;300;CIENTÍFICA (700617);300; R$ 0,5000 ; R$150,00 ;15/07/2020;125363;15/07/2020;16/07/2020;17/07/2020;53921;03/08/2020;4;;;;;;ISOLADOR DE PRESSAO DO MANOMETRO P/MAQUINA DE HEMODIALISE
297/2020;NFH;09/07/2020;00060-00296022/2020-01;Jefferson;481/2020;1;24558;2;X;X;LINHA ARTERIAL DE ENTRADA SIMPLES PARA HEMODIÁLISE 8 MM;UN;300;FARMARIN (701211);200; R$ 5,8000 ; R$1.160,00 ;07/07/2020;251266;17/07/2020;21/07/2020;23/07/2020;53969;03/08/2020;4;;;;;;LINHA ARTERIAL DE ENTRADA SIMPLES PARA HEMODIÁLISE 8 MM
299/2020;NFH;10/07/2020;00060-00298496/2020-80;Clayton;482/2020;1;90580;7;X;X;AGUA PARA INJETAVEIS AMPOLA 10 ML;AMP;8.000;CIENTÍFICA (700617);8.000; R$ 0,3000 ; R$2.400,00 ;10/07/2020;124948;10/07/2020;13/07/2020;14/07/2020;54235;03/08/2020;4;;;;;; AGUA PARA INJETAVEIS AMPOLA 10 ML
153/2020;NUAL;13/07/2020;00060-00298484/2020-55;Bruno;483/2020;1;20879;6;X;X;ETIQUETA AUTO-ADESIVApara LABORATÓRIO, Material: celulose vegetal em adesivo sintético, Tamanho Etiqueta: 50 x 27 mm, Aplicação: uso em impressora térmica Zebra TLP 2844-Z, Número Colunas: 02, Cor: branca, Características Adicionais: cantos arredondados, sem impressão, para uso em sistema informatizado de laboratório, Unidade De Fornecimento: em rolos contendo 03 milheiros.;MH;200;ÉTICA (703252);200; R$ 6,3000 ; R$1.260,00 ;28/07/2020;1098;30/07/2020;31/07/2020;31/07/2020;63435;18/08/2020;4;;;;;;ETIQUETA AUTO-ADESIVApara LABORATÓRIO
300/2020;NFH;14/07/2020;00060-00300777/2020-18;Jefferson;484/2020;1;90262;4;X;X;NOREPINEFRINA (HEMITARTARATO) SOLUCAO INJETAVEL 2 MG/ML (EQUIVALENTE A 1MG/ML DE NOREPINEFRINA BASE) AMPOLA 4 ML;AMP;2.500;RIOCLARENSE (3374);200; R$ 9,9900 ; R$1.998,00 ;16/07/2020;1322931;16/07/2020;20/07/2020;21/07/2020;54202;03/08/2020;4;;;;;;NOREPINEFRINA (HEMITARTARATO
135/2020;NUAL;14/07/2020;00060-00271406/2020-11;Clayton;485/2020;4;202686;1;X;X;PINÇA ALLIS, Aplicação: Apreensão e Hemostasia, Material: Aço inoxidável AISI, Tamanho: 250 mm,  Características Adicionais: A pinça deverá ter as pontas delicadas e as serrilhas precisas para fazer adequadamente as hemostasias.  A cremalheira deverá ter um funcionamento suave e progressivo, sem trancos e sem escapar com facilidade.O encaixe não deverá ser muito justo, a ponto de dificultar a abertura e o fechamento da peça, mas também não poderá ser muito folgado, a ponto de dificultar a apreensão dos tecidos. Os encaixes não deverão ter buracos, ou frestas que possam acumular detritos provocando manchas e/ou corrosão. As pinças não poderão ter cantos vivos, que possam ferir os pacientes, ou cortar as luvas dos cirurgiões. O funcionamento geral da peça deverá ser suave, sem raspar no encaixe, sem machucar os dedos, e o polimento deverá ser o mais perfeito possível. O tratamento térmico deverá ser integral a fim de conferir às peças a dureza e flexibilidades necessárias ao seu desempenho. As pinças deverão ser as mais leves possíveis. Cada peça deverá ter uma gravação a laser com clara identificação do fabricante e código/lote de identificação da data de fabricação, iniciais da instituição (SES-DF) Embalagem individual, Processo de Esterilização: Não estéril , Forma de apresentação: Unidade, Prazo de Validade: Indeterminado.;UN;20;*CANCELADO;;; R$-   ;15/12/2020;;;;;;;6;FALTA DE RECURSO;;;;;PINÇA ALLIS
135/2020;NUAL;14/07/2020;00060-00271406/2020-11;Clayton;485/2020;3;31527;1;X;X;PINÇA BABCOCK, Aplicação: Apreensão de tecidos.Material: Aço inoxidável AISI Tamanho: 240 mm/, Características adicionais: As pontas deverão ser bem delicadas, com bom acabamento, de modo a atender a finalidade a qual se destina. A peça não deverá apresentar buracos, frestas ou folga no encaixe. A cremalheira deverá ter um funcionamento suave e progressivo, sem trancos e sem escapar com facilidade. O funcionamento geral da peça deverá ser suave, sem raspar no encaixe, sem machucar os dedos. O polimento deverá ser o mais perfeito possível, naturalmente compatível com a aplicação que destina o instrumento. O tratamento térmico deverá ser integral a fim de conferir às peças a dureza e flexibilidades necessárias ao seu desempenho.  Cada peça deverá ter uma gravação a laser com clara identificação do fabricante e código/lote de identificação da data de fabricação, iniciais da instituição (SES-DF). Embalagem individual.Processo de esterilização:Não estéril, Forma de apresentação:  Unidade,Prazo de validade: Indeterminado.;UN;10;*CANCELADO;;; R$-   ;15/12/2020;;;;;;;6;FALTA DE RECURSO;;;;;PINÇA BABCOCK
135/2020;NUAL;14/07/2020;00060-00271406/2020-11;Clayton;485/2020;1;23433;2;X;X;"PINÇA BULDOG CURVO 11cm; Aplicação: instrumental cirúrgico; Material: Produto confeccionado em aço inoxidável AISI-420, tamanho 11cm, embalagem plástica individual, constando os dados de identificação, procedência e rastreabilidade, Garantia de 10 anos contra defeitos de fabricação, fabricado de acordo com padrões internacionais de qualidade, normas da ABNT, CE. Registro Ministério da Saúde; Tamanho: 11 cm ; Processo de esterilização: não estéril; Forma de apresentação: embalagem individual; Prazo de validade: 10 anos contra defeito de fabricação; Unidade de estoque: unidade";UN;20;*CANCELADO;;; R$-   ;15/12/2020;;;;;;;6;FALTA DE RECURSO;;;;;PÍNÇA BULDOG CURVO 11
135/2020;NUAL;14/07/2020;00060-00271406/2020-11;Clayton;485/2020;2;23434;2;X;X;"PINÇA BULDOG RETO 9cm; Aplicação: instrumental cirúrgico; Material: Produto confeccionado em aço inoxidável AISI-420, tamanho 9cm, embalagem plástica individual, constando os dados de identificação, procedência e rastreabilidade, Garantia de 10 anos contra defeitos de fabricação, fabricado de acordo com padrões internacionais de qualidade, normas da ABNT, CE. Registro Ministério da Saúde; Tamanho: 09 cm ; Processo de esterilização: não estéril; Forma de apresentação: embalagem individual; Prazo de validade: 10 anos contra defeito de fabricação; Unidade de estoque: unidade";UN;20;*CANCELADO;;; R$-   ;15/12/2020;;;;;;;6;FALTA DE RECURSO;;;;;PINÇA BULDOG RETA 9
135/2020;NUAL;14/07/2020;00060-00271406/2020-11;Clayton;485/2020;5;202798;1;X;X;PINÇA CLAMP WERTHEIN, CURVA, Aplicação: Cirurgia ginecológica, Material: Aço inoxidável AISI, Tamanho: 225 mm,  Características Adicionais: As pontas deverão ser bem delicadas, com bom acabamento, de modo a atender a finalidade a qual se destina. A peça não deverá apresentar buracos, frestas ou folga no encaixe. A cremalheira deverá ter um funcionamento suave e progressivo, sem trancos e sem escapar com facilidade. O funcionamento geral da peça deverá ser suave, sem raspar no encaixe, sem machucar os dedos. O polimento deverá ser o mais perfeito possível, naturalmente compatível com a aplicação que destina o instrumento. O tratamento térmico deverá ser integral a fim de conferir às peças a dureza e flexibilidades necessárias ao seu desempenho.  Cada peça deverá ter uma gravação eletroquímica com clara identificação do fabricante e código/lote de identificação da data de fabricação, iniciais da instituição (SES-DF). Embalagem individual, Processo de Esterilização: Não estéril, Forma de apresentação: Unidade, Prazo de Validade: Indeterminado.;UN;5;*CANCELADO;;; R$-   ;15/12/2020;;;;;;;6;FALTA DE RECURSO;;;;;PINÇA CLAMP
135/2020;NUAL;14/07/2020;00060-00271406/2020-11;Clayton;485/2020;9;203212;2;X;X;"PINÇA ÓSSEA LAMBERT-LOWMANN 2X2 DENTES, Aplicação: Cirurgia Ortopédica, Material: Aço inoxidável AISI, Tamanho: 185 mm Características: As pontas deverão apresentar um bom acabamento superficial. Por ser composta por mais de um componente não deverá apresentar buracos, frestas ou folga quando montada; ter um funcionamento suave e progressivo, sem trancos e sem escapar com facilidade. O peso deverá ser o menor possível e o polimento isento de buracos ou defeitos superficiais que possam provocar manchas ou corrosão. Cada peça deverá ter uma gravação eletroquímica com clara identificação do fabricante e código/lote de identificação da data de fabricação, iniciais da instituição (SES-DF). Embalagem individual., Processo de Esterilização: Não estéril Forma de apresentação:Unidade Prazo de validade:Indeterminado.";UN;10;*CANCELADO;;; R$-   ;15/12/2020;;;;;;;6;FALTA DE RECURSO;;;;;PINÇA ÓSSEA LAMBERT-LOWMANN 2X2 DENTES
